city,County,RUCA code
COLFAX,PLACER,2
COLTON,SAN BERNARDINO,1
COLUSA,COLUSA,7
COMPTCHE,MENDOCINO,10
COMPTON,LOS ANGELES,1
CONCORD,CONTRA COSTA,1
COPPEROPOLIS,CALAVERAS,10
CORCORAN,KINGS,4
CORNING,TEHAMA,7
CORNING,TEHAMA,3
CORONA,RIVERSIDE,1
CORONA DEL MAR,ORANGE,1
CORONADO,SAN DIEGO,1
CORTE MADERA,MARIN,1
COSTA MESA,ORANGE,1
COTATI,SONOMA,1
COTTONWOOD,TEHAMA,2
COTTONWOOD,SHASTA,2
COULTERVILLE,MARIPOSA,10
COVELO,MENDOCINO,10
COVINA,LOS ANGELES,1
CRESCENT CITY,DEL NORTE,4
CRESCENT CITY,DEL NORTE,5
CRESCENT MILLS,PLUMAS,8
CRESTLINE,SAN BERNARDINO,4
CULVER CITY,LOS ANGELES,1
CUPERTINO,SANTA CLARA,1
CUTLER,TULARE,3
CYPRESS,ORANGE,1
DALY CITY,SAN MATEO,1
DANA POINT,ORANGE,1
DANVILLE,CONTRA COSTA,1
DAVENPORT,SANTA CRUZ,2
DAVIS,YOLO,1
DAVIS CREEK,MODOC,10
DEATH VALLEY,INYO,10
DEL MAR,SAN DIEGO,1
DEL REY,FRESNO,2
DELANO,KERN,1
DELHI,MERCED,1
DENAIR,STANISLAUS,2
DENAIR,STANISLAUS,1
DESCANSO,SAN DIEGO,2
DESERT CENTER,RIVERSIDE,5
DESERT CENTER,RIVERSIDE,10
DESERT HOT SPRINGS,RIVERSIDE,1
DESERT HOT SPRINGS,RIVERSIDE,2
DIAMOND BAR,LOS ANGELES,1
DINUBA,TULARE,4
DINUBA,TULARE,6
DISCOVERY BAY,CONTRA COSTA,3
DIXON,YOLO,1
DIXON,SOLANO,4
DIXON,SOLANO,10
DOS PALOS,MERCED,10
DOS PALOS,MERCED,7
DOWNEY,LOS ANGELES,1
DUARTE,LOS ANGELES,1
DUBLIN,ALAMEDA,1
DUNNIGAN,YOLO,3
DUNSMUIR,SISKIYOU,8
DURHAM,BUTTE,2
EARLIMART,TULARE,3
EARLIMART,TULARE,4
EARP,SAN BERNARDINO,10
EDWARDS,KERN,10
EL CAJON,SAN DIEGO,1
EL CENTRO,IMPERIAL,2
EL CENTRO,IMPERIAL,1
EL CERRITO,CONTRA COSTA,1
EL DORADO,EL DORADO,2
EL DORADO HILLS,EL DORADO,1
EL MONTE,LOS ANGELES,1
EL SEGUNDO,LOS ANGELES,10
EL SEGUNDO,LOS ANGELES,1
EL SOBRANTE,CONTRA COSTA,1
ELDORADO NTL FOREST,EL DORADO,2
ELK,MENDOCINO,10
ELK CREEK,GLENN,10
ELK GROVE,SACRAMENTO,2
ELK GROVE,SACRAMENTO,1
ELVERTA,SACRAMENTO,1
