city,County,RUCA code
SANGER,FRESNO,1
SANTA ANA,ORANGE,1
SANTA BARBARA,SANTA BARBARA,1
SANTA BARBARA,SANTA BARBARA,4
SANTA CLARA,SANTA CLARA,1
SANTA CLARITA,LOS ANGELES,2
SANTA CRUZ,SANTA CRUZ,1
SANTA FE SPRINGS,LOS ANGELES,1
SANTA MARGARITA,SAN LUIS OBISPO,1
SANTA MARIA,SANTA BARBARA,1
SANTA MARIA,SANTA BARBARA,4
SANTA MARIA,SANTA BARBARA,2
SANTA MONICA,LOS ANGELES,1
SANTA PAULA,VENTURA,2
SANTA PAULA,VENTURA,1
SANTA ROSA,SONOMA,1
SANTEE,SAN DIEGO,1
SARATOGA,SANTA CLARA,1
SAUSALITO,MARIN,1
SCOTIA,HUMBOLDT,7
SCOTTS VALLEY,SANTA CRUZ,1
SEAL BEACH,ORANGE,1
SEASIDE,MONTEREY,1
SEBASTOPOL,SONOMA,2
SEBASTOPOL,SONOMA,1
SELMA,FRESNO,2
SELMA,FRESNO,4
SELMA,FRESNO,3
SHAFTER,KERN,2
SHANDON,SAN LUIS OBISPO,2
SHASTA LAKE,SHASTA,1
SHAVER LAKE,FRESNO,10
SHERMAN OAKS,LOS ANGELES,1
SHINGLE SPRINGS,EL DORADO,1
SHINGLETOWN,SHASTA,2
SIERRA MADRE,LOS ANGELES,1
SIGNAL HILL,LOS ANGELES,1
SILVERADO,ORANGE,2
SIMI VALLEY,VENTURA,1
SLOUGHHOUSE,SACRAMENTO,2
SNELLING,MERCED,2
SODA SPRINGS,NEVADA,5
SOLANA BEACH,SAN DIEGO,1
SOLEDAD,MONTEREY,4
SOLVANG,SANTA BARBARA,4
SOMERSET,EL DORADO,2
SOMES BAR,SISKIYOU,10
SOMIS,VENTURA,2
SOMIS,VENTURA,1
SONOMA,SONOMA,10
SONOMA,SONOMA,4
SONORA,TUOLUMNE,4
SOQUEL,SANTA CRUZ,1
SOUTH EL MONTE,LOS ANGELES,1
SOUTH GATE,LOS ANGELES,1
SOUTH LAKE TAHOE,EL DORADO,6
SOUTH LAKE TAHOE,EL DORADO,4
SOUTH PASADENA,LOS ANGELES,1
SOUTH SAN FRANCISCO,SAN MATEO,1
SOUTHEAST TRINITY COUNTY,TRINITY,10
SPRING VALLEY,SAN DIEGO,1
SPRINGVILLE,TULARE,10
STANFORD,SANTA CLARA,1
STANTON,ORANGE,1
STEVENSON RANCH,LOS ANGELES,2
STEVINSON,MERCED,9
STINSON BEACH,MARIN,10
STOCKTON,SAN JOAQUIN,10
STOCKTON,SAN JOAQUIN,1
STONYFORD,COLUSA,10
STRATHMORE,TULARE,1
STRAWBERRY VALLEY,PLUMAS,8
STUDIO CITY,LOS ANGELES,1
SUISUN CITY,SOLANO,1
SUN CITY,RIVERSIDE,1
SUN VALLEY,LOS ANGELES,10
SUN VALLEY,LOS ANGELES,1
SUNLAND,LOS ANGELES,1
SUNNYVALE,SANTA CLARA,1
SUNSET BEACH,ORANGE,1
SUSANVILLE,LASSEN,4
SUSANVILLE,LASSEN,5
SUTTER CREEK,AMADOR,7
SYLMAR,LOS ANGELES,1
SYLMAR,LOS ANGELES,2
TAFT,KERN,4
TAHOE CITY,PLACER,10
TAHOMA,PLACER,10
TARZANA,LOS ANGELES,1
TEHACHAPI,KERN,2
TEHACHAPI,KERN,6
TEHACHAPI,KERN,4
TEMECULA,RIVERSIDE,1
TEMECULA,RIVERSIDE,2
TEMPLE CITY,LOS ANGELES,1
TEMPLETON,SAN LUIS OBISPO,1
TERMO,LASSEN,10
THERMAL,IMPERIAL,2
THERMAL,RIVERSIDE,1
THERMAL,RIVERSIDE,2
THOUSAND OAKS,VENTURA,1
THOUSAND OAKS,LOS ANGELES,1
THOUSAND PALMS,RIVERSIDE,1
THOUSAND PALMS,RIVERSIDE,2
THREE RIVERS,TULARE,2
TIPTON,TULARE,3
TOPANGA,LOS ANGELES,1
TORRANCE,LOS ANGELES,1
TORRANCE,LOS ANGELES,99
TRABUCO CANYON,ORANGE,1
TRACY,SAN JOAQUIN,1
TRACY,SAN JOAQUIN,3
TRAVIS AFB,SOLANO,10
TRAVIS AFB,SOLANO,1
TRINIDAD,HUMBOLDT,5
TRUCKEE,NEVADA,5
TRUCKEE,PLACER,4
TRUCKEE,NEVADA,4
TUJUNGA,LOS ANGELES,2
TUJUNGA,LOS ANGELES,1
TULARE,TULARE,1
TULARE,TULARE,2
TURLOCK,STANISLAUS,1
TURLOCK,STANISLAUS,10
TUSTIN,ORANGE,1
TWENTYNINE PALMS,SAN BERNARDINO,7
TWENTYNINE PALMS,SAN BERNARDINO,8
UKIAH,MENDOCINO,4
UNION CITY,ALAMEDA,1
UNIVERSAL CITY,LOS ANGELES,99
UPLAND,SAN BERNARDINO,1
VACAVILLE,SOLANO,2
VACAVILLE,SOLANO,1
VALENCIA,LOS ANGELES,2
VALLEJO,SOLANO,1
VALLEY CENTER,SAN DIEGO,2
VALLEY SPRINGS,CALAVERAS,3
VALLEY VILLAGE,LOS ANGELES,1
VALYERMO,LOS ANGELES,2
VAN NUYS,LOS ANGELES,1
VENICE,LOS ANGELES,1
VENTURA,VENTURA,2
VENTURA,VENTURA,1
VICTORVILLE,SAN BERNARDINO,1
VILLA PARK,ORANGE,1
VISALIA,TULARE,1
VISTA,SAN DIEGO,1
WALNUT,LOS ANGELES,1
WALNUT CREEK,CONTRA COSTA,1
WALNUT GROVE,SACRAMENTO,2
WARNER SPRINGS,SAN DIEGO,10
WASCO,KERN,4
WATERFORD,STANISLAUS,2
WATSONVILLE,SANTA CRUZ,1
WATSONVILLE,MONTEREY,2
WATSONVILLE,MONTEREY,1
WATSONVILLE,SANTA CRUZ,2
WEED,SISKIYOU,7
WELDON,KERN,8
WEST COVINA,LOS ANGELES,1
WEST HILLS,VENTURA,1
WEST HILLS,LOS ANGELES,1
WEST HOLLYWOOD,LOS ANGELES,1
WEST SACRAMENTO,YOLO,1
WESTLAKE VILLAGE,LOS ANGELES,1
WESTLAKE VILLAGE,VENTURA,1
WESTMINSTER,ORANGE,1
WESTMORLAND,IMPERIAL,10
WHEATLAND,YUBA,2
WHITE WATER,RIVERSIDE,2
WHITTIER,LOS ANGELES,1
WILDOMAR,RIVERSIDE,1
WILLIAMS,COLUSA,8
WILLITS,MENDOCINO,7
WILLOWS,GLENN,7
WILMINGTON,LOS ANGELES,1
WILSEYVILLE,CALAVERAS,10
WILTON,SACRAMENTO,2
WINCHESTER,RIVERSIDE,1
WINDSOR,SONOMA,1
WINNETKA,LOS ANGELES,1
WINTERHAVEN,IMPERIAL,1
WINTERHAVEN,IMPERIAL,10
WINTERS,YOLO,7
WINTON,MERCED,1
WOFFORD HEIGHTS,KERN,10
WOFFORD HEIGHTS,KERN,7
WOODLAKE,TULARE,2
WOODLAND,YOLO,1
WOODLAND HILLS,LOS ANGELES,1
WRIGHTWOOD,SAN BERNARDINO,3
YORBA LINDA,ORANGE,1
YOSEMITE NATIONAL PARK,MARIPOSA,10
YOSEMITE NTL PARK,TUOLUMNE,10
YOUNTVILLE,NAPA,7
YREKA,SISKIYOU,8
YREKA,SISKIYOU,7
YUBA CITY,SUTTER,1
YUBA CITY,SUTTER,2
YUCAIPA,SAN BERNARDINO,1
YUCCA VALLEY,SAN BERNARDINO,4
ZAMORA,YOLO,2
