category,TotalFirstYearGrosskW,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,TotalGrossIncentive,TotalGrossMeasureCost,TotalGrossMeasureCost_ER,TotalLifecycleGrosskW,TotalLifecycleGrosskWh,TotalLifecycleGrossTherm,ClaimID,PrgID
Other Education,1040.58471546205,5059387.7553099,84366.2582288561,4280559.46901597,9597863.87,0,6480.76446992289,41235134.7983678,381574.85986439,534,3
Uncategorized,347.4684724582,4125666.79381574,1367018.4139942,1553681.8532433,4711537.484,25794.22,2657.28937567908,32706880.971664,14169793.6424479,466,13
Higher Education,1608.728021339,10848043.6004,263850.04875844,3141897.32319249,22791389.302,26541.6,14051.49560336,85090800.1726,2770756.24173497,155,10
State,322.046042388,4874854.93355,3705.6676365,1272149.17270812,6198016.554,0,3422.506798208,55426492.6068,61135.148184,109,8
Local Government,7140.5817498674,88456858.5986168,-143586.458509333,26523731.0560502,62850563.2500003,14029277.13,63246.7348361082,703533758.622987,-1471725.92944649,6744,72
