,Unnamed: 0,PA,PrgID,ProgramName,Grouping,County,Selected,PrimarySector,Sector,BP Sector,ProgramImplementer,ProgramCategory,StatewideProgram,ImplementationContractor,ProgramManager,StartYear,EndYear,Resource_Flag,NonResource_Flag,Deemed_Flag,Custom_Flag,Upstream_Flag,Midstream_Flag,Downstream_Flag,DirectInstall,Audit_Flag,Financing,ParentProgram,Exclude_From_Budget,Exclude_From_CE,TotalGrossMeasureCost,TotalGrossIncentive,TotalFirstYearGrosskW,cpuc_claims
24,242,SCR,SCR-FIN-C1,Public Agency Revolving Loan Fund,Local Gov't(),0,x,Cross-Cutting,Commercial (Com),Finance: 1.000000,REN/CCA,Financing,0,0,0,2019,0.0,False,True,False,False,False,False,False,No,False,Other Financing,SCR-FIN,False,False,0.0,0.0,0.0,0.0
25,302,SDGE,SDGE4022,SW CA Department of Corrections Partnership,State (Correctional Facilities) ,0,x,Public,Commercial (Com),0,State Institutional Partnership,Government Partnerships,0,0,0,2019,2019.0,True,False,True,True,True,False,True,Partial,False,None,0,False,False,0.0,0.0,0.0,0.0
40,241,SCR,SCR-FIN-B5,Public Agency Revolving Loan Fund,Local Gov't(),0,x,Public,Commercial (Com),0,REN/CCA,Integrated Demand-Side Management,0,The Energy Coalition,0,2016,0.0,False,True,False,False,False,False,False,No,False,Other Financing,SCR-FIN,False,False,0.0,0.0,0.0,0.0
41,243,SCR,SCR-PUBL-B1,Energy Efficiency Project Delivery Program,0,0,x,Public,Commercial (Com),Public: 1.000000,REN/CCA,Integrated Demand-Side Management,0,0,0,2016,0.0,False,True,False,False,False,False,False,No,True,None,SCR-PUBL,False,False,0.0,0.0,0.0,0.0
42,244,SCR,SCR-PUBL-B2,DER DAC Project Delivery Program,0,0,x,Public,Commercial (Com),Public: 1.000000,REN/CCA,Integrated Demand-Side Management,0,0,0,2019,0.0,False,True,False,False,False,False,False,No,True,None,SCR-PUBL,False,False,0.0,0.0,0.0,0.0
43,245,SCR,SCR-PUBL-B3,Public Agency NMEC Program,0,0,x,Public,Commercial (Com),Public: 1.000000,REN/CCA,Market Transformation,0,0,0,2019,0.0,True,False,False,True,False,False,True,No,True,None,SCR-PUBL,False,False,0.0,0.0,0.0,0.0
44,246,SCR,SCR-REC-C1,Aggregated Regional Procurement,0,0,x,Public,Commercial (Com),0,REN/CCA,Integrated Demand-Side Management,0,The Energy Coalition,0,2016,0.0,False,True,False,False,False,False,False,No,True,None,SCR-REC,False,False,0.0,0.0,0.0,0.0
45,247,SCR,SCR-REC-C2,Integrated Comprehensive Whole Building Retrofits,0,0,x,Public,Commercial (Com),0,REN/CCA,Integrated Demand-Side Management,0,The Energy Coalition,0,2016,0.0,False,True,False,False,False,False,False,No,True,None,SCR-REC,False,False,0.0,0.0,0.0,0.0
46,248,SCR,SCR-REC-C5,Regional Energy Project Tracking and Permitting (CEEPMS),0,0,x,Public,Commercial (Com),0,REN/CCA,Market Education Outreach,0,The Energy Coalition,0,2016,0.0,False,True,False,False,False,False,False,No,False,None,SCR-REC,False,False,0.0,0.0,0.0,0.0
54,295,SDGE,SDGE4010,Local Government Customers Program,Local Government (),0,x,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,0,0,0,2019,0.0,True,False,True,True,False,False,True,Partial,False,None,0,False,False,0.0,0.0,0.0,0.0
55,249,SCR,SCR-REC-C6,"Marketing, Outreach, Education, and Training",0,0,x,Public,Commercial (Com),0,REN/CCA,Market Education Outreach,0,The Energy Coalition,0,2016,0.0,False,True,False,False,False,False,False,No,False,None,SCR-REC,False,False,0.0,0.0,0.0,0.0
