county,enrollment,number_of_schools,free_meal_count,perc_eligible_free,frmp_count,perc_eligible_frpm,lcff,no_title1,perc_title1,kWh,budget,claims,programs,obf,resource,dac,ces_score,ces_percentile,income,irr,population,avg_pop,total_wa,avg_wa,perc_wa,total_ba,avg_ba,perc_ba,total_ia,avg_ia,perc_ia,total_aa,avg_aa,perc_aa,total_na,avg_na,perc_na,number
LOS ANGELES,1435803,2285,882790,0.6148406153,989638,0.6892575096,2282291455,310,0.1356673961,6410629.05,3929626.72,2396,9,8.84370532,100,0.443021767,36.39758777,70.620507,68044,0.226484593,60433448,20144482.7,42801868,14267289.3,0.70824799,5423706,1807902,0.08974676,864080,288026.667,0.01429804,9247112,3082370.67,0.15301315,221408,73802.6667,0.00366367,19
MADERA,32148,79,22817,0.7097486624,25615,0.7967836257,24712417,7,0.08860759494,0,0,0,0,0,0,0.4782608696,39.17836861,74.7256905,57585,0.469575207,939264,313088,808430,269476.667,0.86070583,39000,13000,0.04152187,41454,13818,0.04413456,23494,7831.33333,0.0250132,2810,936.666667,0.0029917,20
MARIN,33518,87,8533,0.2545796289,9610,0.2867116176,6957586,3,0.03448275862,42276.69312,27472.32371,5,3,0,100,0,6.800021201,6.223987893,115246,0.376551385,1556474,518824.667,1331480,443826.667,0.85544635,43534,14511.3333,0.02796963,15410,5136.66667,0.00990058,100782,33594,0.0647502,4150,1383.33333,0.00266628,21
MARIPOSA,1870,15,989,0.5288770053,1211,0.6475935829,1205846,1,0.06666666667,0,0,0,0,0,0,0,15.1202458,25.37520494,48820,0.556874694,104044,34681.3333,93142,31047.3333,0.89521741,1306,435.333333,0.01255238,3552,1184,0.0341394,1716,572,0.01649302,198,66,0.00190304,22
MENDOCINO,13217,66,8663,0.6554437467,9849,0.7451766664,11184103,10,0.1515151515,0,0,0,0,0,0,0,16.9170484,30.14882078,51416,0.515868582,523452,174484,451206,150402,0.86198161,5818,1939.33333,0.01111468,33162,11054,0.06335251,11476,3825.33333,0.02192369,1320,440,0.00252172,23
MERCED,59531,106,40567,0.6814432817,45945,0.7717827686,5625458,0,0,0,0,0,0,0,0,0.7551020408,44.4721416,82.21717745,53672,0.43870777,1645854,548618,1353224,451074.667,0.82220173,64948,21649.3333,0.03946158,40834,13611.3333,0.02481022,128580,42860,0.07812358,6238,2079.33333,0.00379013,24
MODOC,1394,12,874,0.6269727403,941,0.675035868,0,0,0,0,0,0,0,0,0,0,16.52539825,29.25337369,45507,0.60969562,53034,17678,46940,15646.6667,0.88509258,712,237.333333,0.01342535,2644,881.333333,0.04985481,636,212,0.01199231,180,60,0.00339405,25
MONO,1933,13,950,0.4914640455,1137,0.5882048629,2791106,0,0,8572.14336,56166.42263,5,2,0,100,0,13.79902457,21.95737167,62260,0.599739529,86402,28800.6667,78010,26003.3333,0.90287262,700,233.333333,0.00810166,2490,830,0.02881878,2170,723.333333,0.02511516,304,101.333333,0.00351844,26
MONTEREY,77370,135,50608,0.6541036577,56283,0.727452501,19781317,6,0.04444444444,521655.1106,299173.9807,25,2,0,100,0.04301075269,22.94952193,45.08134695,71015,0.426751382,2605090,868363.333,2158604,719534.667,0.82861014,90542,30180.6667,0.0347558,67582,22527.3333,0.02594229,174772,58257.3333,0.06708866,15820,5273.33333,0.00607273,27
NAPA,20027,44,8116,0.4052529086,9673,0.4829979528,8030172,1,0.02272727273,158.24,1252.071157,2,2,0,100,0,14.90709121,24.89595157,88596,0.439768059,832822,277607.333,698940,232980,0.83924296,20234,6744.66667,0.02429571,10390,3463.33333,0.01247566,72642,24214,0.08722392,3372,1124,0.00404888,28
NEVADA,11524,42,5086,0.4413398126,5773,0.5009545297,41322577,4,0.09523809524,0,0,0,0,0,0,0,12.93097238,19.98360449,66096,0.462420172,597260,199086.667,558000,186000,0.93426648,3590,1196.66667,0.00601078,7520,2506.66667,0.01259083,8388,2796,0.01404413,1194,398,0.00199913,29
ORANGE,473446,640,204355,0.4316331746,231136,0.4881992878,191566183,30,0.046875,3079804.842,1556537.8,448,9,4.113843662,100,0.1219931271,21.11432815,41.0770589,90234,0.167891882,19051908,6350636,13639820,4546606.67,0.71592934,404180,134726.667,0.02121467,195032,65010.6667,0.01023687,4064080,1354693.33,0.21331617,73726,24575.3333,0.00386974,30
PLACER,75217,136,17831,0.2370607708,21117,0.2807477033,80424738,13,0.09558823529,365.30568,1173.56944,1,1,0,100,0,8.681462014,10.19044016,89691,0.419322816,2351548,783849.333,1985032,661677.333,0.84413841,44182,14727.3333,0.01878847,25040,8346.66667,0.0106483,186996,62332,0.07952038,6246,2082,0.00265612,31
PLUMAS,2219,14,978,0.4407390717,1263,0.5691753042,3051575,1,0.07142857143,0,0,0,0,0,0,0,15.06034749,25.24908564,55359,0.564573053,112416,37472,102034,34011.3333,0.9076466,1178,392.666667,0.01047894,3582,1194,0.03186379,1210,403.333333,0.01076359,178,59.3333333,0.0015834,32
RIVERSIDE,431395,515,239719,0.5556833065,280868,0.6510692057,277599853,21,0.04077669903,1702072.959,1570852.061,2543,7,0,100,0.2229580574,27.8028861,55.51771976,67005,0.367669403,14662598,4887532.67,11700786,3900262,0.79800224,1058452,352817.333,0.07218721,279752,93250.6667,0.01907929,1035270,345090,0.07060618,65390,21796.6667,0.00445965,33
SACRAMENTO,249411,391,129576,0.519528008,149979,0.6013327399,346099807,33,0.08439897698,0,8225.002498,2,2,0,100,0.1388012618,24.41737186,48.71988902,67151,0.287298945,9236210,3078736.67,5830510,1943503.33,0.6312665,1003926,334642,0.10869458,143176,47725.3333,0.0155016,1548606,516202,0.16766682,117844,39281.3333,0.01275891,34
