county_name,enrollment,free_meal_count,frpm_count,perc_eligible_free,perc_eligible_frpm,total_lcff_entitlement,no_title1_status,number_of_schools,perc_title1_status,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,TotalLifecycleGrosskWh,TotalLifecycleGrossTherm,Budget,total_claims,total_programs,perc_obf_budget,perc_resource_budget,dac_proportion,ces_score_median,ces_percentile_median,median_household_income_usd,IRR
PLUMAS,2219,978,1263,0.4407390717,0.5691753042,3051575,1,14,0.07142857143,0,0,0,0,0,0,0,0,0,0,15.06034749,25.24908564,55359,0.564573053
RIVERSIDE,431395,239719,280868,0.5556833065,0.6510692057,277599853,21,515,0.04077669903,1702072.959,-1016.818709,18638228.77,-25682.19224,1570852.061,2543,7,0,100,0.2229580574,27.8028861,55.51771976,67005,0.367669403
SACRAMENTO,249411,129576,149979,0.519528008,0.6013327399,346099807,33,391,0.08439897698,0,4697.9,0,26989.5,8225.002498,2,2,0,100,0.1388012618,24.41737186,48.71988902,67151,0.287298945
SAN BENITO,11546,5773,6493,0.5,0.5623592586,4975648,1,29,0.03448275862,42790.131,-60.219,417652.3224,-626.2776,23697.01456,2,1,0,100,0,31.28856605,61.74801362,86958,0.504367412
SAN BERNARDINO,406970,257668,291418,0.6331375777,0.7160675234,355644800,44,582,0.07560137457,2543557.414,-9906.792965,26017435.43,-98279.66564,1906234.522,229,7,3.037484216,100,0.4254742547,36.47243713,70.75293227,63362,0.398318883
SAN DIEGO,502471,207826,251689,0.4136079495,0.5009025396,773446194,119,791,0.1504424779,4316482.438,-33658.84943,25799722.21,-171320.2895,1117069.969,648,5,0,100,0.06060606061,17.11395319,30.64699205,78980,0.313741722
SAN FRANCISCO,61729,25368,29787,0.4109575726,0.4825446711,77682534,15,130,0.1153846154,40527.441,3432.2534,496551.8586,56907.79645,79443.0833,19,3,0,100,0.06153846154,14.76133906,24.53651154,112449,0.079645896
SAN JOAQUIN,152358,83446,94388,0.5476968718,0.6195145644,217082828,27,245,0.1102040816,32780,0,393360,0,8766.193715,4,1,0,100,0.5107913669,39.46248107,75.19233195,64432,0.376179201
SAN LUIS OBISPO,34391,13132,15060,0.3818440871,0.4379052659,6637469,2,86,0.02325581395,0,0,0,0,0,0,0,0,0,0,11.8406507,17.21528566,73518,0.445806595
SAN MATEO,93408,26485,30627,0.2835410243,0.3278841213,73213240,13,190,0.06842105263,191159.42,2245.6624,878627.1,4021.2224,65157.52263,16,3,0,100,0.03821656051,13.73634977,21.78711061,122641,0.291916724
SANTA BARBARA,69006,37361,42828,0.5414166884,0.6206416833,41392176,13,126,0.1031746032,19267.85838,228.3584272,209049.3747,3922.984303,16313.16141,10,4,0,100,0,14.62232636,24.15184765,74624,0.418740179
SANTA CLARA,263219,76461,91932,0.2904843495,0.3492605017,299584102,45,438,0.102739726,148914.5028,1700.9476,1511537.81,26069.86269,115106.2649,52,5,0,100,0.05107526882,16.75659056,29.73893303,124055,0.297966473
SANTA CRUZ,40545,19804,21537,0.4884449377,0.5311875694,62412355,5,86,0.05813953488,26505.76203,1645.904129,197919.2045,7746.598147,15932.22591,11,1,100,100,0.03846153846,11.75383783,16.93782318,82234,0.372903537
SHASTA,27097,13306,14898,0.4910506698,0.5498025612,41910191,13,102,0.1274509804,0,0,0,0,0,0,0,0,0,0,14.01309393,22.47446084,54667,0.466950482
SIERRA,432,185,199,0.4282407407,0.4606481481,0,0,5,0,0,0,0,0,0,0,0,0,0,0,19.96548266,38.20153866,52148,0.6149941
SISKIYOU,6066,3499,3972,0.5768216288,0.6547972305,6743387,2,43,0.04651162791,0,0,0,0,0,0,0,0,0,0,14.69954927,24.30949678,45241,0.557350419
SOLANO,62980,26344,31404,0.4182915211,0.4986344871,46718215,7,110,0.06363636364,109050.7476,-509.106864,1410223.862,-8145.709824,58765.52936,16,2,0,100,0.05208333333,21.7992194,42.64093833,81472,0.377800437
SONOMA,68198,25416,30753,0.3726795507,0.4509369776,163918885,19,208,0.09134615385,22083.5684,-162.0516,315731.9964,-2374.776,12346.99024,11,2,0,100,0.0101010101,14.81024382,24.65632488,81018,0.392294571
STANISLAUS,110372,65779,74195,0.5959754286,0.6722266517,89254817,11,203,0.05418719212,0,0,0,0,1742.39,12,1,0,100,0.6489361702,44.07540583,81.64964056,60704,0.393360261
SUTTER,23308,12942,14897,0.5552599966,0.6391367771,53768190,8,46,0.1739130435,8252.878,-48.35888,110899.554,-580.30656,13085.88107,7,2,0,100,0.04761904762,27.29001288,54.40786984,59050,0.45473087
TEHAMA,11107,6997,8026,0.6299630863,0.7226073647,4041014,1,45,0.02222222222,69295,-778.049,1050203.98,-11792.158,47175.44933,10,2,0,100,0,26.96350594,53.82772102,44514,0.518114144
TRINITY,1579,901,1070,0.5706143129,0.6776440785,650651,1,18,0.05555555556,0,0,0,0,0,0,0,0,0,0,8.569741274,9.837306092,40846,0.585870254
TULARE,105028,72879,80332,0.6939006741,0.7648627033,89491857,7,192,0.03645833333,233476.2846,-168.2651093,1114106.685,-104.2255556,77860.76869,9,5,0,100,0.4487179487,38.0609887,73.2122588,49687,0.436561598
TUOLUMNE,6042,2584,2900,0.427672956,0.4799735187,6428602,1,25,0.04,0,0,0,0,0,0,0,0,0,0,21.28900905,41.36713331,60108,0.518851624
VENTURA,135291,58826,70930,0.4348108891,0.5242772986,69723950,12,218,0.05504587156,1371597.361,-1727.418052,12941694.11,-14210.74829,891071.1465,332,8,2.50934995,100,0.04624277457,17.98371115,33.09370665,88131,0.36874757
YOLO,30533,13195,14982,0.4321553729,0.4906822127,24241319,4,66,0.06060606061,0,0,0,0,0,0,0,0,0,0.09756097561,18.63739569,34.80892925,70228,0.43782709
YUBA,14746,9030,10096,0.6123694561,0.6846602468,14878844,3,44,0.06818181818,0,0,0,0,0,0,0,0,0,0.2142857143,31.54048804,62.23357296,58054,0.46933823
