city,dac_proportion,ces_score_median,ces_percentile_median
Fresno,0.664,46.1699524896131,84.4494892167991
Ontario,0.941176470588235,49.8149236527724,88.6555681674865
Stockton,0.63013698630137,42.2460575974187,79.1398663135326
Los Angeles,0.607594936708861,44.8703462641411,82.6396771345693
Modesto,0.685185185185185,45.8211324744937,83.9197881195611
Bakersfield,0.494505494505495,38.5997402779683,73.9185269264724
Gardena,0.8,56.2954421370201,94.2048177575987
San Bernardino,0.725490196078431,46.9106176140632,85.3575482406357
Riverside,0.517241379310345,40.4002048106698,76.6048682053223
Selma,1,50.5026028487435,89.3744482280237
Compton,1,58.6394080311904,95.7750031529827
Lathrop,1,55.7089023499701,93.6688106949174
San Diego,0.0957854406130268,17.1951481992017,30.8235590868962
Glendale,0.605263157894737,42.3745861296982,79.3416572077185
Colton,0.833333333333333,46.9367279724902,85.5025854458318
Pomona,0.774193548387097,52.2649198829169,90.9950813469542
Long Beach,0.52212389380531,42.9152766079835,80.0542313028125
Bell,1,57.7873084604887,95.188548366755
March Air Reserve Base,1,69.1503473747241,99.1550006305965
Fontana,0.620689655172414,41.5943234739368,78.3453146676756
Parlier,1,68.9784920912014,99.1171648379367
Sacramento,0.238636363636364,29.2166478961183,58.0653298019927
Van Nuys,0.666666666666667,45.3252591075853,83.3396392987766
Sun Valley,0.8,55.9067137852058,93.8706015891033
North Hollywood,0.707317073170732,50.5235387281507,89.3555303316938
Torrance,0.162162162162162,25.3269619481233,50.4792533736915
El Monte,1,53.5752122517222,92.0797074032034
South Gate,0.761904761904762,52.1543068661316,90.9067978307479
Reedley,0.857142857142857,47.7934049812589,86.5430697439778
Huntington Park,0.954545454545455,51.9755871776414,90.7302307983352
Moreno Valley,0.511627906976744,39.3783449852808,75.0283768444949
Paramount,0.909090909090909,56.3346331205682,94.2363475848152
Inglewood,0.65625,44.5906029730189,82.3496027241771
Baldwin Park,0.941176470588235,53.1490538252542,91.663513683945
Bloomington,0.714285714285714,46.88939090724,85.3323243788624
Hawthorne,0.75,45.9489073336936,84.1026611174171
Merced,0.761904761904762,46.7636411369364,85.1557573464497
Turlock,0.571428571428571,44.2910868519657,81.9018791777021
South El Monte,1,55.1230783697532,93.2652289065456
Riverbank,1,48.9052594530959,87.5772480766806
Rancho Cucamonga,0.178571428571429,21.7037516096521,42.3634758481524
