county,enrollment,free_meal_count,frpm_count,perc_eligible_free,perc_eligible_frpm,tot_lcff,no_title1_status,number_of_schools,perc_title1_status,kWh,budget,claims,programs,perc_obf,perc_resource,dac_proportion,ces_score_median,ces_percentile_median,median_household_income_usd,irr,total_pop,avg_pop,total_wa,avg_wa,perc_wa,total_ba,avg_ba,perc_ba,total_ia,avg_ia,perc_ia,total_aa,avg_aa,perc_aa,total_na,avg_na,perc_na
KERN,198635,128937,144286,0.649115211,0.726387595,185586124,10,268,0.037313433,142286.913,158830.8297,30,4,40.65149003,100,0.450331126,36.35772393,70.53852945,53350,0.421116981,5362632,1787544,4420734,1473578,0.82435901,334936,111645.333,0.06245739,140974,46991.3333,0.02628821,283786,94595.3333,0.05291916,14730,4910,0.00274679
KINGS,29951,19206,21091,0.641247371,0.7041835,24100997,4,66,0.060606061,0,0,0,0,0,0,0.407407407,38.95330355,74.34733258,57848,0.459568005,907974,302658,736576,245525.333,0.81123028,66114,22038,0.07281486,28742,9580.66667,0.03165509,39960,13320,0.04401007,3094,1031.33333,0.00340759
LAKE,9850,6412,7140,0.650964467,0.724873096,2440620,2,38,0.052631579,0,0,0,0,0,0,0,17.5990331,31.99646866,47040,0.501903671,385628,128542.667,336498,112166,0.87259743,7942,2647.33333,0.02059498,17020,5673.33333,0.0441358,5254,1751.33333,0.01362453,1172,390.666667,0.0030392
LASSEN,3811,1607,1862,0.421674101,0.488585673,5079108,2,21,0.095238095,0,0,0,0,0,0,0,15.8205256,27.35527809,56352,0.562445155,184222,61407.3333,149420,49806.6667,0.81108662,15428,5142.66667,0.08374678,7830,2610,0.04250307,2868,956,0.01556817,1616,538.666667,0.00877203
LOS ANGELES,1435803,882790,989638,0.614840615,0.68925751,2282291455,310,2285,0.135667396,6410629.05,3929626.72,2396,9,8.84370532,100,0.443021767,36.39758777,70.620507,68044,0.226484593,60433448,20144482.7,42801868,14267289.3,0.70824799,5423706,1807902,0.08974676,864080,288026.667,0.01429804,9247112,3082370.67,0.15301315,221408,73802.6667,0.00366367
MADERA,32148,22817,25615,0.709748662,0.796783626,24712417,7,79,0.088607595,0,0,0,0,0,0,0.47826087,39.17836861,74.7256905,57585,0.469575207,939264,313088,808430,269476.667,0.86070583,39000,13000,0.04152187,41454,13818,0.04413456,23494,7831.33333,0.0250132,2810,936.666667,0.0029917
MARIN,33518,8533,9610,0.254579629,0.286711618,6957586,3,87,0.034482759,42276.69312,27472.32371,5,3,0,100,0,6.800021201,6.223987893,115246,0.376551385,1556474,518824.667,1331480,443826.667,0.85544635,43534,14511.3333,0.02796963,15410,5136.66667,0.00990058,100782,33594,0.0647502,4150,1383.33333,0.00266628
MARIPOSA,1870,989,1211,0.528877005,0.647593583,1205846,1,15,0.066666667,0,0,0,0,0,0,0,15.1202458,25.37520494,48820,0.556874694,104044,34681.3333,93142,31047.3333,0.89521741,1306,435.333333,0.01255238,3552,1184,0.0341394,1716,572,0.01649302,198,66,0.00190304
MENDOCINO,13217,8663,9849,0.655443747,0.745176666,11184103,10,66,0.151515152,0,0,0,0,0,0,0,16.9170484,30.14882078,51416,0.515868582,523452,174484,451206,150402,0.86198161,5818,1939.33333,0.01111468,33162,11054,0.06335251,11476,3825.33333,0.02192369,1320,440,0.00252172
MERCED,59531,40567,45945,0.681443282,0.771782769,5625458,0,106,0,0,0,0,0,0,0,0.755102041,44.4721416,82.21717745,53672,0.43870777,1645854,548618,1353224,451074.667,0.82220173,64948,21649.3333,0.03946158,40834,13611.3333,0.02481022,128580,42860,0.07812358,6238,2079.33333,0.00379013
