SiteCity,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,TotalLifecycleGrosskWh,TotalLifecycleGrossTherm,Budget,Total Claims,Total Programs,% OBF Budget,% Resource Budget,dac_proportion,ces_score_median,ces_percentile_median,Total Tax Revenue,median_household_income_usd,total_population,ruca_average,ruca_median,Total.Tax.Revenue
BEVERLY HILLS,415702.0474,-0.748306944,4735782.557,-3.74153472,408832.0557,35,1,0,100,0,15.71375653,27.05259175,624117511,129977,40656,1,1,624117511
BISHOP,4205.905568,-30.41351598,58325.54957,-421.7606899,59918.96966,6,1,68.7418027,100,0,11.68030389,16.67297263,19159702,66582,16336,8,8,19159702
BLUE LAKE,26643.8683,-86.91884847,286190.8761,-627.3821124,13781.31939,118,2,0,100,0,13.78548588,21.90692395,1492422,55000,3346,5,5,1492422
BLYTHE,370829.52,0,5387171.49,0,91649.45262,13,1,86.41792656,100,0.166666667,32.63407868,64.22625804,18987392,45481.5,14924,4,4,18987392
BOULDER CREEK,110122.7004,-725.80756,873304.898,-6480.776145,61971.34271,29,1,50.57901988,100,0,8.401874508,9.46525413,,114562,10622,2,2,-119854104.8
BRADLEY,1465,0,17580,0,72.4891886,5,1,0,100,0,22.00292932,42.98146046,,55764,4462,10,10,-150780351.2
BREA,56907.36,0,187794.288,0,27135.70352,1,1,0,100,0,23.80958589,47.13078572,138957376,92739,46522,1,1,138957376
BRENTWOOD,213533.707,-158.9548716,2044249.342,-3062.027382,171549.1583,955,2,53.0099574,100,0,23.64439284,46.69567411,130696354,122573.5,78554,2,2,130696354
BRIDGEPORT,51932.95,-320.4469,612469.906,-3822.4133,111743.8738,29,1,100,100,0,13.79902457,21.95737167,,61827,2444,10,10,-160911709.2
BRIDGEVILLE,7859.1214,28.4714,85884.23856,283.97328,7382.012316,4,1,0,100,0,12.52248763,19.03140371,,54286,4179,5,5,-152201151.2
BRISBANE,309040.373,-785.4254,2611663.198,-6367.17147,127604.295,58,1,30.84034941,100,0,36.76665277,71.38352882,48761941,113484,5051,1,1,48761941
BUENA PARK,208320.37,1260.810956,2631190.709,20191.3018,125532.6164,34,1,49.39361945,100,0.307692308,26.66791535,53.31063186,168369439,89351,80669,1,1,168369439
BURLINGAME,1331067.259,-4042.582618,11938748.37,-39096.95758,537631.799,920,3,33.97203785,100,0,8.766317428,10.36700719,204650697,129585,42760,1,1,204650697
BURNEY,8857.665,-14.59799967,98025.876,-72.98999832,10321.75529,5,1,100,100,0,25.72248291,51.17921554,,47408,4881,7,7,-148676764
BUTTONWILLOW,164338.9245,-703.07328,1892584.987,-7872.726093,78305.35565,19,1,0,100,1,45.85231158,84.09635515,,45781,3415,10,10,-156036809
CALISTOGA,212789.1145,-701.4418588,2431401.356,-8366.32457,88825.42097,271,2,0,100,0,10.98977817,15.38655568,36440152,85226,6684,8,8,36440152
CAMARILLO,26280.54116,-16.47198611,140118.1598,-86.30800329,49969.76758,9,1,0,100,0,14.92997166,24.94639929,118667215,105452,79627,1,1,118667215
CAMBRIA,50718.60659,-396.96617,626969.6569,-4970.22178,19600.02681,80,2,0,100,0,3.425983514,1.324252743,,74036,8388,8,8,-131069889.6
CAMINO,4154.83416,-36.13185,49858.00992,-433.5822,3354.113981,2,1,0,100,0,10.91082467,14.98297389,,90795,3495,4,4,-155635169.4
CAMPBELL,473185.0184,-1565.744691,4870550.994,-14969.16736,338893.2557,565,2,6.191652892,100,0,13.65427689,21.63576744,120771924,130811.5,44176,1,1,120771924
CANYON COUNTRY,31891.44,0,382697.28,0,23534.47676,3,2,0,100,0,23.84940071,47.28212889,,85637,73789,2,2,197275473.7
CAPITOLA,351178.63,-1655.80581,2633696.493,-11135.28068,154072.8939,26,1,28.99466604,100,0,11.75383783,16.93782318,41633696,76519,11739,1,1,41633696
CARMEL,157141.538,-1449.506,1619132.176,-14712.3765,90717.01788,38,1,32.55874154,100,0,1.932289014,0.340522134,,99337,21923,4,2,-63117496.06
CARMEL VALLEY,30851.149,-188.4,356436.2414,-2182.96947,19611.902,7,1,0,100,0,14.36136776,24.99054105,,73199,11768,3,3,-114100618.1
CARPINTERIA,4805.7264,-2.867965041,28580.5967,-14.90647926,10809.52602,4,1,0,100,0,21.08537881,41.02661117,30597609,72540,13619,1,1,30597609
CARSON,931403.6923,6040.052619,9843807.828,18058.36309,472207.048,109,2,35.83050645,100,0.777777778,46.60398634,84.84676504,208784719,79687.5,83730,1,1,208784719
CARUTHERS,23185.278,-114.822,292627.7712,-1194.1488,10472.4804,2,1,0,100,1,47.89711325,86.61874133,,45587,5068,2,2,-147737931.5
CASTAIC,90940.26,0,1091283.12,0,52234.364,20,1,0,100,0,14.49858258,23.75457182,,120072.5,30663,2,2,-19238373.79
CASTRO VALLEY,324351.0194,-3565.42596,3354823.807,-36932.23671,224983.1643,91,2,0,100,0,12.27988286,18.31882961,,123005.5,68146,1,1,168944823
CASTROVILLE,206877.143,-1592.659,1643394.889,-9269.29515,122974.9242,24,2,0,100,0,31.32869974,61.83629714,,66063,15986,2,2,-92924172.14
CAYUCOS,18655.46744,-52.85779,101876.1126,-310.0363113,13042.57852,11,2,0,100,0,7.285554977,7.062681297,,64246,2630,2,2,-159977897.2
CAZADERO,352.748,-8.2834,2716.824,-63.9208,377.104511,4,1,0,100,0,3.98585298,3.077311136,,70517.5,3983,6,6,-153185168.1
CERRITOS,8785.8,0,105429.6,0,2267.63522,3,1,100,100,0,25.35303137,50.48555934,158028704,106354,50143,1,1,158028704
CHATSWORTH,1377.6,0,16531.2,0,842.5557076,1,1,0,100,0,23.30719819,45.8569807,,91544,47215,1,1,63860851.81
CHICO,1541790.982,-1720.531374,17508478.98,-17025.70832,1293355.724,4523,5,16.25304024,100,0.043478261,19.49668227,37.04124101,162340118,50488,109037,1,1,162340118
CHOWCHILLA,461350.782,-390.2039991,5196954.48,-3879.267196,198932.8769,336,2,7.861166601,100,0.666666667,45.63000063,83.78105688,19055065,73060,22300,7,7,19055065
CHUALAR,98910.981,-622.674,1064718.972,-7472.088,62023.26814,3,1,0,100,0,23.89481889,47.38302434,,71844,6527,2,2,-140413030
CLAREMONT,118775.8775,0,1425310.53,0,49810.31779,10,1,66.61051498,100,0,26.7691881,53.38630344,71969579,91661,38213,1,1,71969579
CLAYTON,56473.20302,-245.0983416,481983.4161,-1585.239708,33937.22711,74,2,0,100,0,4.600020856,2.944885862,14894867,139110.5,14078,1,1,14894867
CLEARLAKE,381931.6878,-1718.902532,4219673.747,-18988.6816,224622.9936,57,2,6.061488819,100,0,25.69269569,51.12876781,20483995,29052,11491,4,4,20483995
CLEARLAKE OAKS,48434.09216,-680.44902,506520.18,-7023.218399,32304.5173,8,1,0,100,0,18.57060279,34.48732501,,44306.5,7002,4,4,-138028295.1
CLOVERDALE,255002.1183,-713.0857493,2911958.545,-7591.843272,115774.557,26,1,0,100,0,19.33756652,35.98814478,18179773,68313,10009,2,2,18179773
CLOVIS,1719822.479,-1690.458306,17801171.81,-17907.76464,886236.7007,7733,3,11.05423329,100,0.142857143,20.94706762,40.5662757,172798267,93445,133683,2,2,172798267
