SiteCity,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,TotalLifecycleGrosskWh,TotalLifecycleGrossTherm,Budget,Total Claims,Total Programs,% OBF Budget,% Resource Budget,dac_proportion,ces_score_median,ces_percentile_median,Total Tax Revenue,median_household_income_usd,total_population,ruca_average,ruca_median,Total.Tax.Revenue
JACKSON,243215.507,-1591.28847,2726310.231,-17320.95015,210977.5483,49,2,0,100,0,23.25754909,45.75608526,8889475,65244,3152,7,7,8889475
JAMESTOWN,8894.70188,-32.07093087,66078.4594,-152.3059543,8761.571028,10,1,0,100,0,23.50087429,46.52541304,,61163,13181,5,4,-107006659.3
KELSEYVILLE,83140.27333,-712.8111058,875541.6241,-7135.379185,69937.71934,24,1,0,100,0,15.49905091,26.59856224,,62384.5,9457,4,4,-125702981
KERMAN,91387.226,-438.4197,1126471.07,-5776.3872,27449.4541,243,2,0,100,1,46.04383315,84.31075798,15764892,61776,22144,6,6,15764892
KING CITY,1145487.874,-3188.52106,9154528.001,-24181.36943,594362.9807,616,3,41.57210813,100,0,26.32434278,52.51608021,19869920,48178,13528,4,4,19869920
KINGSBURG,102094.965,-74.34,1177214.789,-731.59758,17583.56896,443,2,0,100,0.666666667,43.17727738,80.35061168,17653091,62808,16545,4,4,17653091
LA HABRA,8207.1,57.6,131313.6,921.6,88671.79892,1,1,0,100,0.384615385,36.47332135,70.74032034,110309736,74688,64062,1,1,110309736
LA PALMA,258769.5959,-6.625837662,3024572.78,-33.12918832,208343.2201,7,1,0,100,0,17.28866177,31.05057384,30352410,111169,14476,1,1,30352410
LAFAYETTE,58446.034,-317.85528,501580.8887,-3377.677932,50161.69414,96,1,47.78192686,100,0,3.73649517,1.614327153,46623270,188247,29449,1,1,46623270
LAKE ELSINORE,22505.59987,-19.59539299,112527.9994,-97.97696496,129450.9237,9,1,0,100,0.181818182,26.75061734,53.4493631,80070282,57461,76453,1,1,80070282
LAKEHEAD,18337.329,-10.98900016,213032.709,-54.94500082,22228.64453,3,1,0,100,0,13.14271893,20.48177576,,49265,1670,2,2,-164797572
LAKEPORT,332640.5222,-1010.509414,3588125.833,-9337.386038,276142.0942,60,2,7.2618017,100,0,21.67953533,42.41392357,14063969,48806,16029,4,4,14063969
LAKEWOOD,447427.3465,-20.94211757,4993115.636,-111.684916,289293.5491,94,1,54.19585152,100,0.111111111,21.44325621,41.71396141,110917660,93614,83312,1,1,110917660
LAMONT,195101.8783,-1216.118696,1897053.93,-10254.11348,81125.13248,50,1,0,100,0.333333333,31.81774369,62.76958002,,43278,17003,1,1,-87818329.19
LANCASTER,178206.48,1314,786312.36,3942,59681.73291,4,1,0,100,0.026315789,22.26934969,43.61205701,229597335,55375.5,183225,4,2,229597335
LARKSPUR,188624.0022,-1839.520709,1613661.008,-15151.57523,96243.40748,57,2,0,100,0,5.406254566,3.707907681,55367046,122685,5857,1,1,55367046
LATHROP,162052.134,-103.5321,1210631.555,-1068.462,83907.66444,66,2,49.71023494,100,1,55.70890235,93.66881069,79758865,87149,28172,1,1,79758865
LATON,9009.885,-38.853,106712.82,-404.0712,3099.815518,6,1,100,100,1,40.42185572,76.65531593,,37917,3407,10,10,-156076972.9
LAWNDALE,38370.91306,-2.867017507,440887.2653,-23.15508754,25762.23824,6,2,0,100,0.5,40.44706166,76.54811452,41197250,60346,32819,1,1,41197250
LE GRAND,6734.21,0,71423.16,0,4348.793789,6,2,0,100,1,39.48347714,75.20494388,,48806,2345,10,10,-161408738.1
LEMOORE,71359,0,856308,0,4635.430723,354,1,0,100,0.333333333,35.12702237,68.56476227,22979971,58399,37546,3,2,22979971
LINCOLN,179791.3662,-182.15054,2146965.783,-2063.300616,125289.3135,612,1,90.96556214,100,0,8.719105001,10.30394753,54217702,87333,52810,2,2,54217702
LINDEN,4926.475,-20.93508,56895.0456,-230.05296,5196.594565,10,1,0,100,0,22.26079713,43.58683314,,87554,5944,10,10,-143339978.3
LINDSAY,12880.35697,-44.67511202,64401.78486,-223.3755601,258237.2456,7,1,0,100,0.25,37.91341115,73.01677387,16787161,33603,18018,4,4,16787161
LITTLEROCK,19593.18,-76.23,235118.16,-914.76,10346.95218,2,1,0,100,0,22.99024501,45.28313785,,53484.5,14024,1,1,-102774382.4
LIVE OAK,88710,0,1064520,0,5601.785611,424,1,0,100,0,27.45531705,54.73578005,8051602,59359,14220,2,2,8051602
LIVERMORE,311823.9396,-1041.774096,2643530.093,-7739.035577,158903.0106,64,3,0.084509965,100,0,15.98359668,27.6831883,278185345,128963,99939,2,2,278185345
LIVINGSTON,108230.7,0,1295301.6,0,106110.943,355,3,73.3349402,100,1,44.4721416,82.21717745,15642992,55500,18171,2,2,15642992
LOCKEFORD,59742.55404,-27.68274,716910.6485,-332.19288,33293.88182,6,1,0,100,0,23.07569341,45.35250347,,63287,2902,2,2,-158612322.7
LOLETA,26910.7948,-356.6029532,345419.0279,-4468.372616,19397.09667,33,2,0,100,0,27.5470879,54.91234708,,42407,4606,4,4,-150057400
LOMPOC,53462.99,-363.06,411121.6962,-1884.1419,16381.08075,78,2,0,100,0,19.93016348,38.15109093,54639791,66845,60288,4,4,54639791
LONG BEACH,6799532.551,1307.656852,78451118.92,22194.60061,3395863.24,1029,2,90.30723317,100,0.522123894,42.91527661,80.0542313,1371076040,60616,476520,1,1,1371076040
LOOMIS,160948.9534,-966.04169,1764892.155,-10082.30878,140994.0352,69,2,94.81073961,100,0,9.428444747,11.6975659,13260857,104185,16427,1,1,13260857
LOS ALTOS,157297.923,-1101.591,1117584.494,-9577.093951,87197.97714,9,1,53.53166393,100,0,3.857075602,1.727834531,103229406,215250,47624,1,1,103229406
LOS ANGELES,494326.1941,0,4065967.904,0,6726397.771,402,26,0,3.528955584,0.607594937,44.87034626,82.63967713,14545311557,48767,2484718,2,2,14545311557
LOS BANOS,429352.3887,-914.1484504,4843347.963,-12041.15248,310585.4039,31,2,0,100,0.8,50.5343926,89.36814226,57896757,55719,43374,7,7,57896757
LOS GATOS,691857.232,-963.055,6986038.939,-5364.53305,456849.4593,1385,1,52.8325748,100,0,4.910105889,3.064699205,92527652,167875,49210,2,2,92527652
LOS OLIVOS,370,0,4440,0,27.86442615,2,1,0,100,0,9.156166222,11.1867827,,99583,2620,4,4,-160028102.1
LOS OSOS,120177.4419,-1098.555108,1541085.32,-15014.81497,60800.9365,93,2,0,100,0,6.536612117,5.725816623,,76587,15829,2,2,-93712389.78
LOST HILLS,42239.3013,-95.66505365,445406.8185,-836.6056382,17663.68001,6,1,0,100,1,48.63455888,87.41329298,,35560,2635,10,10,-159952794.7
LOWER LAKE,44483.09022,-76.07214,521038.3405,-791.1215658,31346.01777,8,1,0,100,0,17.7809444,32.482028,,34567.5,7286,4,4,-136602474.6
LYNWOOD,116518.2067,79.31069832,1347828.029,1565.976715,143098.657,35,1,0,100,1,52.07462884,90.83112625,98449996,57386,69438,1,1,98449996
MADERA,867068.299,-1588.351122,8585429.008,-18685.97107,398457.6617,582,3,7.312178346,100,0.615384615,41.83546782,78.55971749,80065732,59471,103572,2,2,80065732
MAGALIA,17489.88,0,203797.44,0,58160.98099,4,1,0,100,0,15.45626653,26.37154748,,55908,8458,4,4,-130718455
MALIBU,2328.453588,-1.567583672,12839.64619,-8.682385124,4738.883101,3,1,0,100,0,9.403512032,11.80476731,77629687,149026,19438,2,2,77629687
MAMMOTH LAKES,13518.31563,-90.99762022,109052.2282,-706.4425011,108541.127,10,1,11.12474819,100,0,13.87639293,22.15916257,104057653,59620,8169,7,7,104057653
MANHATTAN BEACH,140296.29,-53.98662046,1176459.21,-304.6850477,270876.3104,20,1,0,100,0,5.222041746,3.506116786,154644150,169612.5,35500,1,1,154644150
MANTECA,791377.1092,-1285.74724,8440020.027,-14444.98636,570691.2741,524,3,24.14685131,100,0.666666667,42.37085523,79.39210493,143409231,69864,83541,1,1,143409231
MARINA,734968.523,-963.2276919,5506521.941,-5298.90026,252613.0034,919,2,61.81792689,100,0.25,25.62534021,51.14137975,56765434,70964,16685,1,1,56765434
MARIPOSA,13174.93512,-37.07702785,93667.7556,-185.3851392,4706.328216,5,1,98.71539393,100,0,13.46600498,21.18804389,,64432,10285,10,10,-121546011.5
MARTINEZ,326540.3878,-1075.208541,3543156.058,-10872.04956,173611.099,2616,3,5.924126492,100,0.076923077,21.22699241,41.46802876,85135534,98365,58611,1,1,85135534
MARYSVILLE,258347.6692,-515.2742886,2921906.632,-6197.889163,145144.105,500,3,0,100,0.25,33.60955921,66.06759995,21311139,49710,39064,4,2,21311139
MC FARLAND,111754.2353,-595.6861998,1142244.478,-5297.636811,46431.09557,28,1,0,100,1,41.96180327,78.6858368,,37492,30118,2,2,-21974543.32
MCKINLEYVILLE,334823.8271,-1688.430105,2496336.299,-8067.957494,286758.9331,146,2,1.345174417,100,0,9.415367274,11.86782696,,59089,17843,4,4,-83601113.78
MEADOW VISTA,4263.3,-23.935,37255.26,-192.4694,4073.680759,9,2,0,100,0,8.48504008,9.685962921,,89231,4875,3,3,-148706887
MENDOTA,130766.92,0,1516805.04,0,51180.73243,516,1,94.92130988,100,1,55.87689267,93.77601211,9142290,32046,13415,4,4,9142290
MENIFEE,1654.82352,-1.44083772,8274.1176,-7.2041886,9569.45485,3,1,0,100,0,20.64148565,39.90414933,116314465,95166,55591,1,1,116314465
MENLO PARK,195086.264,-706.069,1920789.114,-4786.60818,94314.98137,231,2,7.203802711,100,0,5.861988931,4.464623534,157347711,147162.5,42424,1,1,157347711
MERCED,1331550.735,-1871.761417,15257277.96,-20820.2358,1552912.352,4345,3,60.49823052,100,0.761904762,46.76364114,85.15575735,120579712,42193,110611,2,2,120579712
MIDDLETOWN,75623.11248,-98.88954073,866139.2087,-923.661274,92595.61367,9,1,0,100,0,12.31806497,18.43864296,,68814,7108,2,2,-137496122.7
MILL VALLEY,351116.7571,-2175.23258,3482772.444,-22285.33296,201556.053,167,2,0,100,0,4.637075251,2.661117417,88223199,158869,31047,1,1,88223199
MILLBRAE,8982.12,-11.2896,105890.4,-124.608,26742.92712,7,1,0,100,0,12.98782757,20.0908059,75050748,130798.5,22625,1,1,75050748
MILPITAS,2343139.462,-6695.181843,15066546.47,-49402.20749,1064828.887,83,2,47.45336157,100,0,20.66567226,40.01135074,328947490,124015,78528,1,1,328947490
MONTEBELLO,53804.32346,-80.02007719,329090.9965,-489.6076405,335482.7282,56,1,74.23650551,100,0.8,42.13513768,78.96329928,140473768,58203,65023,1,1,140473768
MONTEREY,973838.92,-2409.5287,7086204.655,-21508.6178,549308.5618,220,2,18.28208108,100,0,5.968952639,4.615966705,205769057,79146,28916,1,1,205769057
MONTEREY PARK,32555.95812,-48.40929425,162779.7906,-242.0464712,73514.00613,7,1,0,100,0.066666667,31.14311299,61.52099886,123277197,63563,62542,1,1,123277197
MONTROSE,6707.6,0,80491.2,0,4274.095052,3,1,0,100,0,21.25458612,41.58153613,,67407,5874,1,1,-143691412.9
MOORPARK,4046.70924,-6.017280696,20233.5462,-30.08640348,9000.211968,1,1,0,100,0,16.44043493,28.93807542,49128477,126733,38234,2,2,49128477
MORAGA,22382.79977,-289.7629,307075.0052,-3888.352,17839.43471,12,1,0,100,0,1.726916229,0.201790894,25515269,186652,15733,1,1,25515269
MORENO VALLEY,47477.53123,-31.52232745,332092.8562,-157.6116373,68558.59847,13,2,0,100,0.511627907,39.37834499,75.02837684,278525697,67747,204601,1,1,278525697
MORGAN HILL,1445791.288,-1764.236391,13295818.64,-13876.6593,971916.5408,52,1,13.65113081,100,0.090909091,18.05340463,33.33333333,110981465,115664,51712,2,2,110981465
MORRO BAY,465176.9253,-1659.949187,4830809.923,-17178.07026,231818.5859,530,2,0,100,0,11.8406507,17.21528566,37129331,64250,10655,2,2,37129331
MOSS LANDING,201024.492,-249.651,1326416.874,-1142.96229,67647.97369,8,2,0,100,0.5,40.07239563,75.81662252,,64050,10004,1,1,-122956770.5
MOUNTAIN VIEW,811027.532,-1709.84387,7155714.89,-16030.68257,443197.0993,468,2,9.432161936,100,0,17.2260796,30.89292471,389768619,134183,74507,1,1,389768619
MURPHYS,1480,0,17760,0,2311.239384,1,1,0,100,0,10.01600124,13.31819902,,48321,3560,10,10,-155308837.3
MURRIETA,221668.117,-35.14043106,2377502.255,-175.7021553,327685.5253,92,1,27.63452801,100,0,19.8981073,38.06280742,162953475,94861,127318,1,1,162953475
NAPA,972141.7083,-3016.64068,10111662.98,-27128.99638,541770.2781,522,4,9.113311685,100,0,16.76931948,29.78938075,234557175,86918.5,103365,2,2,234557175
NEVADA CITY,34217.6624,-185.72928,257741.2788,-1346.634735,38106.14484,22,1,0,100,0,17.61938678,32.03430445,13977891,75250,19638,4,4,13977891
NEWARK,164866.0463,-621.53245,1559238.279,-9861.468676,133699.783,203,1,18.00797707,100,0.111111111,22.84091432,44.75974272,159247528,121156,55184,1,1,159247528
NEWBURY PARK,38111.84066,195.6769922,379797.7033,3285.084961,107260.0326,4,1,0,100,0,9.899188943,13.01551267,,131289,44718,1,1,51324676.95
NEWCASTLE,10047.831,-49.23016006,113052.933,-538.7185203,11806.31987,12,1,18.36991242,100,0,8.681462014,10.19044016,,86250,2979,2,2,-158225744.6
NEWMAN,90273.05,0,1078940.4,0,22324.45608,152,2,0,100,0.5,41.74518459,78.37053853,8865452,57646.5,13682,4,4,8865452
NEWPORT BEACH,1053221.132,-2.121090653,12616515.72,-10.60545326,531492.1605,233,1,97.31939457,100,0,11.32833489,15.76491361,522199250,120057,71747,1,1,522199250
NEWPORT COAST,213.2,0,2558.4,0,4322.46038,3,1,3.089221598,100,0,6.707260486,5.996973137,,148583,13758,1,1,-104109834
NICE,171415.3254,-1678.04613,1989659.772,-19730.42935,130869.3542,7,1,0,100,0,15.55421814,26.57333838,,47472,2446,4,4,-160901668.2
NIPOMO,126985.9269,-521.1399593,1183866.454,-4744.371798,53811.22122,181,2,0,100,0,15.27562568,25.7661748,,84102,27744,2,2,-33893197.35
NORWALK,90084.23021,-11.0250992,973410.4598,-70.43101639,126855.2876,14,1,68.13909342,100,0.857142857,44.74812117,82.49463993,136917106,71875,105858,1,1,136917106
NOVATO,570361.8468,-4369.239403,4316945.221,-31276.50648,373166.031,787,3,5.539881044,100,0,9.770942404,12.57409509,103147717,117007,63616,2,2,103147717
OAK PARK,1367.1315,-2.0328651,6835.6575,-10.1643255,3040.612152,1,1,0,100,0,5.241023956,3.48719889,,143627,8355,1,1,-131235566
OAKDALE,166623.906,-797.7113,2062230.151,-11261.885,224515.898,232,2,47.76355355,100,0.25,37.32636064,72.02043133,37414843,68176,28121,1,1,37414843
OAKHURST,279136.104,-887.4230037,2895084.011,-7318.590929,105917.5958,23,1,48.13676488,100,0,14.89000897,24.85811578,,61445,13760,8,8,-104099793
OAKLAND,2084728.984,-11437.70305,18818659.84,-107070.1363,1364188.926,1316,3,5.288435814,100,0.231481481,26.65578267,53.285408,2264363902,68606,407922,1,1,2264363902
OAKLEY,75274.128,-32.2584,307389.764,-275.9868,24443.48136,24,1,87.54224444,100,0.166666667,31.87043889,62.8641695,50377267,91257.5,43415,1,1,50377267
OCCIDENTAL,40319.78047,-562.0955333,312792.2764,-2942.524692,15807.49328,5,1,0,100,0,8.152807182,8.840963552,,80341,3848,2,2,-153862934.8
OCEANO,119861.4698,-1037.62496,1277799.269,-10063.95662,43327.98666,228,2,0,100,0,18.76801139,35.13683945,,70270,7033,1,1,-137872659.7
OJAI,2260.32408,-3.361003632,11301.6204,-16.80501816,5027.145424,2,1,0,100,0,11.66881848,16.91890528,24871173,77596.5,16740,1,1,24871173
OLIVEHURST,143918.059,-265.9833,1664840.014,-3896.028,55128.46286,396,2,0,100,0.25,32.7576238,64.24517594,,43601.5,28522,2,2,-29987252.6
ORANGE,924385.77,-14.30408635,10948084.26,-87.92010708,525621.0164,330,1,91.73783677,100,0.038461538,25.62992361,51.0404843,304186913,88268,143399,1,1,304186913
ORANGE COVE,81400.5317,-4.815811091,826659.1185,-24.07905546,17670.79732,282,2,0,100,1,45.71140713,83.77475091,6439408,28125.5,7179,4,4,6439408
ORANGEVALE,2035,0,24420,0,141.2392483,11,1,0,100,0,11.91665704,17.29726321,,85862,37602,1,1,15598837.81
ORINDA,81063.058,-443.85936,540442.1574,-2805.222233,44397.59025,60,1,71.70677214,100,0,2.701502495,0.731491991,44863212,224318,20468,1,1,44863212
ORLAND,116257.3726,-17.2809,1395088.471,-207.3708,51290.59581,7,2,0,100,0,23.61414386,46.63892042,13178976,49952,17308,4,4,13178976
OROVILLE,166775.513,-441.69653,1962276.646,-6483.27996,252423.5559,374,4,21.98726942,100,0.071428571,23.92517862,47.41455417,39649481,42954,56228,4,4,39649481
OXNARD,78918.13709,-52.92957815,394590.6854,-264.6478908,381382.8707,16,1,0,100,0.153846154,23.73596972,46.96683062,381462311,69703,220161,1,1,381462311
PACIFIC GROVE,385017.3605,-3034.80314,3121277.976,-23499.1877,226263.207,76,2,38.46174573,100,0,3.212025046,1.13507378,63178440,85889.5,15522,1,1,63178440
PACIFICA,557137.0684,-5036.41715,4769443.977,-42220.59737,240841.8001,47,2,6.237806581,100,0,9.971508641,13.2109976,79983029,125082,38984,1,1,79983029
PAICINES,9383.427,-49.86,60269.03838,-271.68354,5802.60957,3,1,0,100,0,29.28433507,58.20406104,,94327,3049,6,6,-157874310
PALO CEDRO,45701.575,-308.531,499030.14,-3248.556,50940.91918,18,1,0,100,0,4.597585739,3.171900618,,70226,6629,2,2,-139900939.5
PARADISE,59555.721,-272.5679998,644014.2085,-2631.770529,62029.46291,108,2,19.12549927,100,0,18.12879274,33.53512423,39461656,53125,20696,4,4,39461656
PARLIER,264534.399,-704.762999,2881507.502,-6786.580045,95709.06837,397,2,0,100,1,68.97849209,99.11716484,10535639,36395,9242,3,3,10535639
PASO ROBLES,2113505.715,-6094.04297,22085014.05,-64526.50108,938141.0339,2395,3,12.46420965,100,0,14.77590883,24.55542944,,70402.5,42290,2,2,39134916.21
PENN VALLEY,65478.6801,-188.8652296,723561.1625,-2032.479388,56873.97794,38,3,35.39346431,100,0,12.48852833,18.93050826,,52500,5606,5,5,-145036905.4
PENNGROVE,21653.05776,-172.27299,237786.1592,-1795.309035,10786.19909,5,1,0,100,0,9.628344419,12.39752806,,108370,5737,1,1,-144379220.7
PENRYN,3975.295,-24.071,16167.50211,-124.72104,4720.944976,6,1,0,100,0,3.362042856,1.28641695,,86985,2546,1,1,-160399618.7
PETALUMA,2810015.002,-7295.021819,30969222.85,-75603.92865,1236508.12,3986,4,2.942062107,100,0,17.08248229,30.55870854,118435446,90556,79601,6,6,118435446
PHILO,0,0,0,0,1378.179988,1,1,0,100,0,14.22668781,23.00416194,,44896,3023,10,10,-158004842.8
PINE GROVE,32489.10676,-233.11262,360266.7129,-2508.177264,29449.30165,9,1,0,100,0,19.72378447,37.65922563,,78352,4639,10,10,-149891723.7
PINOLE,218572.8915,-1089.17351,2585512.704,-14385.65156,116373.6056,533,3,0,100,0,24.24420848,48.27847143,53486686,91866,17262,1,1,53486686
PIONEER,23859.19287,-260.26095,259593.7978,-2732.9526,22413.86782,9,1,0,100,0,15.47516408,26.67423383,,57032,5890,10,10,-143611085
PISMO BEACH,362797.0479,-1754.33743,4040545.299,-16665.95155,169250.7911,656,2,0,100,0,7.939373971,8.273426662,63036643,84782,8161,1,1,63036643
PITTSBURG,1527778.762,-841.8202984,11691561.93,-7013.946828,772467.7257,167,1,85.68919813,100,0.571428571,41.25075262,77.76516585,92988794,62414.5,78759,1,1,92988794
PLACENTIA,12350.21725,-9.667683918,126525.6462,-95.02977959,7081.374945,13,1,0,100,0.166666667,21.4392046,41.56261824,86022022,97163.5,56135,1,1,86022022
PLACERVILLE,243098.7505,-1041.357716,2733856.98,-11546.07136,181428.2371,35,1,2.421010491,100,0,15.30033453,25.92382394,28480303,66163.5,39151,3,3,28480303
PLEASANT HILL,296109.3245,-1240.97846,2643449.374,-12648.15394,186954.1767,387,1,5.791244755,100,0,8.914923559,10.66969353,76834417,127916.5,32996,1,1,76834417
PLEASANTON,139288.1802,-296.0055378,1496798.518,-4312.693382,143059.0188,345,4,8.827637862,100,0,14.35004864,23.28162442,331465720,159412,93374,2,2,331465720
PLYMOUTH,67219.74896,-649.1142399,709873.2289,-6790.459944,60011.40058,8,1,0,100,0,25.31138812,50.40988775,3299488,79375,5105,3,3,3299488
POINT ARENA,34590.42446,-213.85213,344444.2429,-2069.774256,18564.46866,15,1,0,100,0,13.90902337,22.20961029,1126945,57558,4188,10,10,1126945
POINT REYES STATION,69662.47732,-474.77483,818851.8078,-5599.15076,30087.85856,8,2,0,100,0,4.833126724,2.963803758,,95441,1641,10,10,-164943166.3
POLLOCK PINES,5520.68352,-32.49909,66248.20224,-389.98908,4130.833048,1,1,0,100,0,8.763272894,10.43006684,,83115,12697,4,4,-109436578.7
POMONA,642929.2,0,7715150.4,0,437328.2935,16,1,100,100,0.774193548,52.26491988,90.99508135,258915743,57650,152251,1,1,258915743
PORT HUENEME,8145.409104,-5.463041623,40727.04552,-27.31520812,17986.79735,4,1,0,100,0,28.7165969,57.27077816,28934474,64439,19861,1,1,28934474
POTTER VALLEY,1564.92,-8.4456,18779.04,-101.3472,986.9941371,1,1,0,100,0,16.42791155,28.85609787,,59348,1869,5,5,-163798493.5
QUINCY,40911.14603,-405.3387698,462245.8601,-4602.579329,32652.81939,5,1,0,100,0,16.81633412,29.92811199,,53581,5446,7,7,-145840184.6
RANCHO MIRAGE,522163.0329,-7.199082971,5986181.849,-39.30498678,162492.741,17,1,62.88055484,100,0,8.91900947,10.70752932,75260542,82097,17140,1,1,75260542
RANCHO PALOS VERDES,40073.5237,-41.32324922,354917.1185,-206.6162461,103230.3292,8,1,0,100,0,5.618139311,3.972758229,89577373,143721,44864,1,1,89577373
RED BLUFF,1138255.561,-2187.445286,13475583.83,-25650.92502,540779.8048,502,3,16.0224935,100,0,25.68313517,51.08462606,28947329,40948.5,34100,4,4,28947329
REDDING,15178.785,-62.37676,99482.29425,-384.5253,15690.88625,4,1,0,100,0,13.84379856,22.03304326,160494100,59235,109737,2,2,160494100
REDONDO BEACH,128353.8777,-0.04932769,590457.2566,-0.246638448,82175.29285,10,1,0,100,0,12.30210647,18.3945012,197197476,111585.5,72275,1,1,197197476
REDWOOD CITY,613922.9824,-1408.16541,6058687.081,-13959.43061,363160.6742,646,3,3.795860899,100,0.041666667,14.00365536,22.6636398,334832466,132742,121495,2,2,334832466
REDWOOD VALLEY,35722.38096,-334.6015527,368080.6854,-3760.292029,41437.17455,9,1,41.52790928,100,0,15.28289174,26.52919662,,60312.5,10311,4,4,-121415478.6
REEDLEY,316862.4178,-858.1050022,3349245.616,-8849.83918,112370.0526,876,2,17.3264174,100,0.857142857,47.79340498,86.54306974,23335581,44375,40225,5,4,23335581
RICHMOND,2209539.833,-11929.83564,22486985.92,-126294.3248,1633195.497,2597,2,11.43691966,100,0.5,38.48676688,73.34468407,518244183,58935.5,88242,1,1,518244183
RIO VISTA,1112211.88,-4065.706458,11231222.27,-36585.28222,555614.1393,401,3,13.81066724,100,0,38.66444693,74.00681044,15552814,68284,10676,7,7,15552814
RIPON,86051.1,-263.8497,727289.04,-4221.5952,76590.1109,4,1,0,100,0,29.07020827,57.87615084,23370019,83600,17867,1,1,23370019
RIVERBANK,193445.037,-476.549,2405110.881,-5999.5056,79430.71915,348,2,0,100,1,48.90525945,87.57724808,22223025,58165.5,16110,1,1,22223025
RIVERDALE,13549.68,0,144175.68,0,7512.078468,1,1,0,100,1,44.34086743,82.06583428,,50434,5221,7,7,-146969795.8
ROCKLIN,674270.4625,-480.1561525,7873505.584,-4526.936765,296237.1909,1024,4,2.565886655,100,0,7.616903506,7.579770463,123847771,94821,63112,1,1,123847771
RODEO,26380.77793,-232.56352,285460.3519,-3095.346328,18751.59687,251,1,0,100,1,43.45502387,80.84247698,,59567,6285,1,1,-141627989.7
ROHNERT PARK,796559.6046,-3060.128286,8999738.482,-33648.0417,421318.1182,1889,1,23.16492731,100,0,12.93589326,19.86379115,88150550,65119,38042,1,1,88150550
ROSEMEAD,32452.24488,-78.08581787,164129.8137,-396.3553451,3965875.058,58,25,0,40.41842836,0.5,39.64140399,75.46348846,59057151,61046,61315,1,1,59057151
ROSEVILLE,2610,0,31320,0,130.066063,9,1,0,100,0,13.03738161,20.17908942,319452085,88314.5,142410,1,1,319452085
SACRAMENTO,29903,0,358836,0,16421.66873,162,2,0.907177984,100,0.238636364,29.2166479,58.0653298,1263401000,57258.5,821850,1,1,1263401000
SAINT HELENA,95324.37966,-369.0733598,888594.7396,-3824.097834,43824.5674,31,1,0,100,0,15.80106435,27.3174423,,91889,7947,8,8,-133283927.7
SALINAS,5466769.433,-30800.98008,48946286.94,-249406.9386,3053607.515,726,3,19.25831466,100,0.05,26.33470027,52.553916,389086044,71607,199851,6,6,389086044
SAN ANSELMO,263893.8812,-861.9945089,2758645.632,-5929.989571,229761.9531,140,1,0,100,0,3.973132251,1.879177702,52211107,142072.5,17184,1,1,52211107
SAN BERNARDINO,223875.54,0,1740303.45,0,90805.97867,2,2,0,100,0.725490196,46.91061761,85.35754824,335935687,47970.5,278008,5,4,335935687
SAN BRUNO,132328.8681,-79.70582,1181047.529,-635.7174854,119661.5405,232,1,0,100,0.111111111,15.97754578,27.67057637,98367969,122308,43101,1,1,98367969
SAN CARLOS,863095.4914,-1899.4545,6116929.749,-12843.3915,402278.1941,43,2,16.26497369,100,0,7.880444239,8.172531215,114221909,189914,32112,1,1,114221909
SAN DIEGO,0,0,0,0,20892804.11,104,8,0,0,0.095785441,17.1951482,30.82355909,4139432802,77448,1335542,1,1,4139432802
SAN FRANCISCO,13683306.83,-49845.39895,126340607.2,-502719.15,33332781.1,2566,10,1.7252794,41.9634864,0.06122449,14.76133906,24.53651154,13200899836,115882.5,874961,6,6,13200899836
SAN GABRIEL,19004.4,0,62714.52,0,4752.896799,1,1,0,100,0.153846154,25.32997012,50.43511162,92436618,70618,62324,1,1,92436618
SAN GERONIMO,7242.578,-39.1026,42349.488,-207.1854,3574.055353,7,1,0,100,0,1.848289067,0.29007441,,97321,3371,1,1,-156257710.7
SAN JACINTO,9691.655944,-8.460604384,52094.99975,-45.62073142,121099.359,8,1,0,100,0.1,28.18148686,56.28704755,40924212,50020,61157,1,1,40924212
SAN JOSE,8691236.961,-28823.86169,76496064.37,-240695.7237,4926402.337,4821,4,46.85272528,100,0.070707071,19.25478188,36.43586833,2915456970,108125,1047701,1,1,2915456970
SAN JUAN BAUTISTA,148144.247,-771.21,1103996.763,-4608.93303,83644.50286,91,3,0,100,0,27.23503082,54.3069744,4032237,92423,6263,3,3,4032237
SAN LEANDRO,1444334.551,-4319.624039,15780609.47,-48941.90849,966954.5272,3751,3,1.987679266,100,0.136363636,30.26975556,59.96973137,289621805,78295,118450,1,1,289621805
SAN LORENZO,59093.4857,-344.3462506,486636.6634,-2684.505815,38864.77771,39,1,0,100,0,23.83273565,47.16862152,,96856.5,30688,1,1,-19112861.43
SAN LUIS OBISPO,622925.4062,-2636.939409,6183510.2,-27275.68056,277676.4409,626,3,5.467203328,100,0,11.85025369,17.24050952,176469386,69512,65313,1,1,176469386
SAN MARINO,32779.5,0,393354,0,21210.96697,18,1,0,100,0,8.693052429,10.16521629,61287251,165208.5,13194,1,1,61287251
SAN MARTIN,610856.5,-305.3686,6108565,-3053.686,463943.7159,11,1,0,100,0,27.36748698,54.69163829,,112964.5,9665,2,2,-124658718.1
SAN MATEO,1578122.95,-1849.134754,16625625.62,-18640.43094,739052.3031,3753,3,6.673942037,100,0,12.21017894,18.17379241,343379295,144479,143097,1,1,343379295
SAN PABLO,321706.5063,-2595.9495,3577423.493,-32363.61517,200685.9206,328,2,0,100,0.454545455,37.91161714,73.03569176,122697588,64327,63422,1,1,122697588
