County,Population,Mean Income,IRR,TotalRevenue,dac_proportion,ces_score_median,ces_percentile_median,median_household_income_usd,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,TotalLifecycleGrosskWh,TotalLifecycleGrossTherm,Budget,Total Claims,Total Programs,% OBF Budget,% Resource Budget
SAN FRANCISCO,874961,64631,0.079645896,1457014810,0.061538462,14.76133906,24.53651154,112449,13683306.83,-49845.39895,126340607.2,-502719.15,33332781.1,2566,10,1.7252794,41.9634864
SAN JOAQUIN,742603,63860,0.376179201,4889031329,0.510791367,39.46248107,75.19233195,64432,8895229.295,-19904.81159,93188601.84,-215672.9028,5825764.78,10759,6,10.52243667,100
SAN LUIS OBISPO,282165,64465,0.445806595,1927680713,0,11.8406507,17.21528566,73518,5222163.605,-20996.17747,54822723.06,-226454.5296,2457194.377,5514,3,6.335269841,100
SAN MATEO,767423,69742,0.291916724,5988035519,0.038216561,13.73634977,21.78711061,122641,7142406.693,-22578.23862,65038012.53,-199120.4682,3572726.369,7546,5,21.4496123,100
SANTA BARBARA,444829,77911,0.418740179,2903982473,0,14.62232636,24.15184765,74624,4905189.461,-12491.66492,50488062.91,-119859.3809,2594700.239,3035,4,10.58926275,100
SANTA CLARA,1927470,55980,0.297966473,18131549759,0.051075269,16.75659056,29.73893303,124055,21344354.49,-54701.58427,187672504.5,-448110.8065,11928370.53,14934,5,31.46359366,100
SANTA CRUZ,273962,48377,0.372903537,1830683929,0.038461538,11.75383783,16.93782318,82234,7238027.6,-14865.50682,58736137.17,-166089.506,3910747.618,748,4,48.04704091,100
SHASTA,179212,86014,0.466950482,1070287414,0,14.01309393,22.47446084,54667,241221.418,-534.3597622,2537109.691,-4811.031701,261477.7778,48,2,12.84612676,100
SIERRA,3040,61491,0.6149941,65142974,0,19.96548266,38.20153866,52148,0,0,0,0,0,0,0,0,0
SISKIYOU,43468,53922,0.557350419,316302971,0,14.69954927,24.30949678,45241,1880.0811,-31.1382,19552.84344,-323.83728,1493.192987,1,1,0,100
SOLANO,441829,63635,0.377800437,2254970962,0.052083333,21.7992194,42.64093833,81472,13183336.9,-46073.32188,133410223.9,-433904.898,6473784.405,7465,4,13.43134353,100
SONOMA,499772,67001,0.392294571,3532819475,0.01010101,14.81024382,24.65632488,81018,13795930.37,-44572.84497,153910458.8,-462147.3605,6010490.353,19302,7,4.282693191,100
STANISLAUS,543194,61405,0.393360261,3326438109,0.64893617,44.07540583,81.64964056,60704,450341.993,-1274.2603,5546281.432,-17261.3906,326271.0732,732,3,32.86738542,100
SUTTER,96109,67588,0.45473087,590171756,0.047619048,27.29001288,54.40786984,59050,987009.6068,-1693.655181,10594531.21,-20746.77036,643131.8715,874,3,25.59788052,100
TEHAMA,63912,68489,0.518114144,400630004,0,26.96350594,53.82772102,44514,1253498.241,-2187.445286,14858495.99,-25650.92502,556573.1911,945,3,15.56783734,100
TRINITY,12700,46949,0.585870254,173811393,0,8.569741274,9.837306092,40846,0,0,0,0,0,0,0,0,0
TULARE,461898,59408,0.436561598,2747585144,0.448717949,38.0609887,73.2122588,49687,6703678.943,-245.9189229,98907506.42,-1661.90956,1398791.64,1234,2,1.711013673,100
TUOLUMNE,54045,59278,0.518851624,476176226,0,21.28900905,41.36713331,60108,226374.0315,-401.9337918,2648835.33,-4672.828807,167004.4081,28,1,10.40197755,100
VENTURA,847263,59542,0.36874757,6232135889,0.046242775,17.98371115,33.09370665,88131,1247296.486,36738.8059,15324536.25,590469.4104,1837107.805,76,1,0.79150516,100
YOLO,217352,55398,0.43782709,1146194045,0.097560976,18.63739569,34.80892925,70228,1292184.374,-2066.493809,14180557.81,-22785.04543,727076.1604,476,3,23.14412475,100
YUBA,76360,72547,0.46933823,596778975,0.214285714,31.54048804,62.23357296,58054,441725.7282,-781.2575886,5060266.646,-10093.91716,202938.3176,1102,3,0,100
