,SiteCity,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,Budget,Resource Claims,OBF Claims,Total Claims,Total Programs,% OBF,% Resource
477,STEVENSON RANCH,40147.2,0.0,18330.0095193018,2,0,2,1,0.0,100.0
478,STOCKTON,5945516.667430084,-16633.76690586698,4039442.837408566,8362,76,8362,5,0.9088734752451567,100.0
479,SUISUN CITY,912854.9160839999,-1936.2321393600002,439437.00670513354,566,1,566,2,0.17667844522968199,100.0
480,SUN CITY,63115.125952,-54.97200587199999,330328.7890320093,13,0,13,1,0.0,100.0
481,SUNNYVALE,2623640.1217000005,-2872.27070273,1046347.6832115497,6817,30,6817,4,0.440076279888514,100.0
482,SUTTER,185.0,0.0,12.8399316662954,1,0,1,1,0.0,100.0
483,SUTTER CREEK,145804.84168200003,-816.02113064,135809.83838382317,35,0,35,1,0.0,100.0
484,TAFT,396875.1472077002,-1794.4958406359997,276790.1178080203,484,5,484,2,1.0330578512396695,100.0
485,TECOPA,0.0,0.0,81812.8798,2,0,2,1,0.0,100.0
486,TEMECULA,74.4,-0.0678,191.34985833311939,2,0,2,1,0.0,100.0
487,TEMPLETON,267609.5149515,-1198.5092200000004,148648.72382093835,164,7,164,3,4.2682926829268295,100.0
488,THOUSAND OAKS,95400.16360000001,-141.85589544,580840.9943157077,12,0,12,1,0.0,100.0
489,TIBURON,88108.38999999966,-335.6328,42936.96152481525,186,0,186,1,0.0,100.0
490,TOMALES,130320.26211000001,-1303.67193,77193.2471487415,16,0,16,2,0.0,100.0
491,TORRANCE,378478.11872000026,-236.46742223800004,828238.0991615822,78,0,78,2,0.0,100.0
492,TRACY,2019448.7340700014,-3243.181101878996,1202502.9083980836,1778,7,1778,4,0.39370078740157477,100.0
493,TRINIDAD,26761.858999999997,-451.06814029999987,24406.3522802463,28,0,28,2,0.0,100.0
494,TRUCKEE,1478.52,-8.5988,1633.5295791745934,3,0,3,1,0.0,100.0
495,TULARE,143301.24,0.0,35855.004033988596,2,0,2,1,0.0,100.0
496,TUOLUMNE,13080.14168,-161.45472999999998,13533.584917287875,3,0,3,1,0.0,100.0
497,TUSTIN,11654.188,0.0,4706.285842750996,8,0,8,2,0.0,100.0
498,TWAIN HARTE,54775.906839999996,-591.1639200000001,57310.94810498435,13,0,13,1,0.0,100.0
499,UKIAH,231261.23709,-972.2012783729999,170084.46518007756,28,0,28,2,0.0,100.0
500,UNION CITY,395722.9805600006,-1501.663979999998,275773.0311026062,1022,232,1022,2,22.700587084148726,100.0
501,UPPER LAKE,43171.265980000004,-190.42339045199998,25062.183740034397,8,0,8,1,0.0,100.0
502,VACAVILLE,4890490.971648017,-11130.633670222,2205916.848170942,3056,32,3056,4,1.0471204188481675,100.0
503,VALENCIA,33456.0,0.0,19459.44793276348,8,0,8,1,0.0,100.0
504,VALLEJO,1744821.4028331228,-9336.635522130055,960305.8775554473,1363,11,1363,3,0.8070432868672046,100.0
505,VALLEY ACRES,134882.92,-673.896,52416.683173103615,2,0,2,1,0.0,100.0
506,VALLEY FORD,10135.18057,-147.4812895,5333.82954968792,2,0,2,2,0.0,100.0
507,VALLEY SPRINGS,18282.88626,-103.95414,19284.465292106437,4,1,4,1,25.0,100.0
508,VENTURA,1813198.7223360003,73507.97242256801,1646713.5376950572,18,0,18,1,0.0,100.0
509,VERNALIS,20922.3,0.0,16541.046923938,1,0,1,1,0.0,100.0
510,VICTORVILLE,188134.410424,-279.8684865320001,603525.3485106321,72,0,72,2,0.0,100.0
511,VISALIA,12847585.707072008,-369.08548991999976,1963479.9009637597,46,0,46,1,0.0,100.0
512,WALNUT CREEK,205361.67601999996,-679.4221950000003,149964.93813017895,566,26,566,1,4.593639575971731,100.0
513,WASCO,220766.30008,-1312.78346478,89943.98630122775,50,0,50,1,0.0,100.0
514,WATSONVILLE,2892105.9618400014,-13809.312024260002,1568326.4548857666,291,140,291,2,48.10996563573883,100.0
515,WEITCHPEC,15176.474100000001,-84.7062036,9106.357239055002,5,0,5,1,0.0,100.0
516,WEOTT,7155.2384999999995,-107.05680000000001,7059.0321360282305,2,0,2,1,0.0,100.0
517,WEST COVINA,0.0,0.0,269633.991752938,2,0,2,1,0.0,100.0
518,WEST HOLLYWOOD,39191.102999999996,-58.2754662,97214.99044947873,16,0,16,1,0.0,100.0
519,WEST SACRAMENTO,423474.92819999997,-1424.5980799999998,263524.89156791713,66,26,66,2,39.39393939393939,100.0
520,WESTLAKE VILLAGE,2551.9788,-3.79468152,5675.809349470302,2,0,2,1,0.0,100.0
521,WESTLEY,50884.020000000004,-139.68,33596.997500871104,3,0,3,1,0.0,100.0
522,WHEATLAND,39460.0,0.0,2665.7497489298103,206,0,206,1,0.0,100.0
523,WHITTIER,93009.24,-17.820000000000004,55561.099158543686,8,0,8,1,0.0,100.0
524,WILDOMAR,10039.262688,-8.741082167999998,24767.688532324577,22,0,22,1,0.0,100.0
525,WILLIAMS,146558.79486,-457.49780703,68066.72809850724,7,3,7,1,42.857142857142854,100.0
526,WILLITS,188872.042003,-1473.3999065899998,148690.59382727928,20,0,20,1,0.0,100.0
527,WILLOW CREEK,15709.891800000001,-133.4654982,20594.447160213338,7,0,7,1,0.0,100.0
528,WILLOWS,21903.578999999994,-109.889999982,24265.410870494234,7,5,7,1,71.42857142857143,100.0
529,WINDSOR,436177.6797560004,-893.1963382500002,112789.16863639407,1386,0,1386,2,0.0,100.0
530,WINTON,2775.0,0.0,9236.816893850879,29,28,29,2,96.55172413793103,100.0
531,WOODACRE,4116.907125,-66.04919,3656.9679313188253,8,0,8,1,0.0,100.0
532,WOODLAND,526910.0579199999,-288.68218862000003,278715.82626769267,358,15,358,2,4.189944134078212,100.0
533,YORBA LINDA,201178.05599999998,-46.435356,461189.26701000653,24,24,24,1,100.0,100.0
534,YOSEMITE NATIONAL PARK,8894.0,-51.06,18234.382541165127,4,0,4,1,0.0,100.0
535,YOUNTVILLE,16598.67248,-37.547000000000004,4901.835174227876,57,0,57,2,0.0,100.0
536,YUBA CITY,911589.7627600001,-1710.8811810129998,648387.8444831539,455,32,455,3,7.032967032967033,100.0
