,SiteCity,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,Budget,Resource Claims,OBF Claims,Total Claims,Total Programs,% OBF,% Resource
278,MAMMOTH LAKES,27036.631264000014,-181.99524044800003,217082.25395184004,20,8,20,1,40.0,100.0
279,MANCHESTER,37176.628104,-803.6127,19873.94336018435,2,0,2,1,0.0,100.0
280,MANHATTAN BEACH,280592.57992,-107.973240926,541752.6208572853,40,0,40,1,0.0,100.0
281,MANILA,185.0,0.0,12.8399316662954,1,0,1,1,0.0,100.0
282,MANTECA,796326.5721899975,-1296.4295499999996,595856.1959887138,589,200,589,3,33.95585738539898,100.0
283,MARINA,734968.523,-963.2276919000001,252613.00341248527,919,8,919,2,0.8705114254624592,100.0
284,MARIPOSA,13174.93512,-37.07702784999999,4706.32821633168,5,4,5,1,80.0,100.0
285,MARTELL,65718.9,0.0,43937.84516696246,5,0,5,1,0.0,100.0
286,MARTINEZ,326920.77879999985,-1083.2199113399997,174010.83551738271,2633,10,2633,3,0.379794910748196,100.0
287,MARYSVILLE,258347.66915999996,-515.274288649,145144.10503167004,500,0,500,3,0.0,100.0
288,MC FARLAND,111754.23526000004,-595.6861998099998,46431.09556574388,28,0,28,1,0.0,100.0
289,MCKINLEYVILLE,336419.62706,-1710.9931045459998,288250.6844799771,158,7,158,2,4.430379746835443,100.0
290,MEADOW VISTA,4263.3,-23.935,4073.680758784605,9,0,9,2,0.0,100.0
291,MENDOCINO,44910.187318000004,-634.3955100000002,42612.130821237755,12,0,12,1,0.0,100.0
292,MENDOTA,130766.92000000001,0.0,51180.73243146226,516,514,516,1,99.6124031007752,100.0
293,MENIFEE,4964.470559999999,-4.3225131600000015,28708.36454954611,9,0,9,1,0.0,100.0
294,MENLO PARK,195086.26400000002,-706.0690000000001,94314.98136893526,231,6,231,2,2.5974025974025974,100.0
295,MERCED,1615495.4861199996,-2702.7494172769993,1756936.6326561314,4362,2149,4362,3,49.26639156350298,100.0
296,MIDDLETOWN,75623.11248,-98.88954073000002,92595.6136693636,9,0,9,1,0.0,100.0
297,MILL VALLEY,351116.7571499999,-2175.2325800000003,201556.05299972117,167,0,167,2,0.0,100.0
298,MILLBRAE,8982.12,-11.2896,26742.927123461443,7,0,7,1,0.0,100.0
299,MILPITAS,2343139.4620000003,-6695.181843,1064828.8868078883,83,26,83,2,31.32530120481928,100.0
300,MIRANDA,32788.08,-674.07299524,19305.921591657167,2,0,2,1,0.0,100.0
301,MONTE RIO,5586.88202,-124.95541999999999,3554.5788804410154,8,0,8,1,0.0,100.0
302,MONTEBELLO,107608.64691199998,-160.040154384,670965.456417868,112,32,112,1,28.57142857142857,100.0
303,MONTEREY,977084.7200000002,-2428.1476999999995,550923.0418036445,222,15,222,2,6.756756756756757,100.0
304,MONTEREY PARK,65111.916239999984,-96.818588496,147028.01226045736,14,0,14,1,0.0,100.0
305,MONTROSE,13415.2,0.0,8548.190104671863,6,0,6,1,0.0,100.0
306,MOORPARK,8093.41848,-12.034561392,18000.42393689156,2,0,2,1,0.0,100.0
307,MORAGA,22382.7997683,-289.7629,17839.43470580403,12,0,12,1,0.0,100.0
308,MORENO VALLEY,94955.062464,-63.04465490400001,137117.19693040306,26,0,26,2,0.0,100.0
309,MORGAN HILL,1445791.2876399995,-1764.2363914300001,971916.5407712746,52,11,52,1,21.153846153846153,100.0
310,MORRO BAY,465176.92527859996,-1659.9491870209995,231818.58585454666,530,0,530,2,0.0,100.0
311,MOSS LANDING,201024.49199999997,-249.651,67647.97368792314,8,0,8,2,0.0,100.0
312,MOUNTAIN VIEW,816634.7319999996,-1732.9778699999997,447589.5475524946,474,12,474,2,2.5316455696202533,100.0
313,MURPHYS,1480.0,0.0,2311.2393844479,1,0,1,1,0.0,100.0
314,MURRIETA,483695.5408800002,-105.42129318,888759.4216517487,193,158,193,1,81.86528497409327,100.0
315,MYERS FLAT,10201.9,-71.32100000000003,3684.193298929233,15,0,15,1,0.0,100.0
316,NAPA,1056543.431581,-3334.55658971,579582.7046389463,529,14,529,4,2.6465028355387523,100.0
317,NEVADA CITY,34217.662399999994,-185.72928000000002,38106.14483772545,22,0,22,1,0.0,100.0
318,NEWARK,171093.78327499988,-667.0948500000003,136845.39689892821,210,5,210,1,2.380952380952381,100.0
319,NEWBURY PARK,76223.68131199999,391.35398442999997,214520.0651129387,8,0,8,1,0.0,100.0
320,NEWCASTLE,10047.831,-49.230160056,11806.319865700822,12,6,12,1,50.0,100.0
321,NEWMAN,90273.05,0.0,22324.456080883647,152,0,152,2,0.0,100.0
322,NEWPORT BEACH,2106442.2632319992,-4.242181306,1062984.3210284496,466,456,466,1,97.85407725321889,100.0
323,NEWPORT COAST,426.4,0.0,8644.920759229164,6,2,6,1,33.33333333333333,100.0
324,NICE,171415.32539999997,-1678.04613,130869.35418964889,7,0,7,1,0.0,100.0
325,NIPOMO,126985.92691000001,-521.13995932,53811.22122470147,181,0,181,2,0.0,100.0
326,NORTH FORK,44527.310999999994,-516.113999967,22120.534785344236,7,0,7,1,0.0,100.0
327,NORWALK,180168.46041599993,-22.050198404,253710.57523165533,28,16,28,1,57.14285714285714,100.0
328,NOVATO,580409.6248001993,-4446.170083499998,378136.32294376224,822,7,822,3,0.851581508515815,100.0
329,OAK PARK,2734.263,-4.0657302,6081.2243030039,2,0,2,1,0.0,100.0
330,OAKDALE,171618.9060000011,-797.7112999999999,242304.9963873832,259,229,259,2,88.41698841698842,100.0
331,OAKHURST,297944.88,-1133.0960037190002,115745.98656494598,25,14,25,1,56.00000000000001,100.0
332,OAKLAND,2143324.418331599,-11787.525319970022,1422897.4074471595,1372,29,1372,3,2.1137026239067054,100.0
333,OAKLEY,75274.12800000001,-32.258399999999995,24443.48136112575,24,1,24,1,4.166666666666666,100.0
334,OCCIDENTAL,40319.78047,-562.0955332999998,15807.493279014083,5,0,5,1,0.0,100.0
335,OCEANO,119861.46984599999,-1037.624959579,43327.98666301115,228,0,228,2,0.0,100.0
336,OJAI,4520.64816,-6.722007263999999,10054.290847633123,4,0,4,1,0.0,100.0
337,OLIVEHURST,143918.059,-265.9833,55128.4628558843,396,0,396,2,0.0,100.0
338,ORANGE,1848771.5400000007,-28.608172692,1051242.0327076577,660,598,660,1,90.6060606060606,100.0
339,ORANGE COVE,81400.53169999999,-4.8158110910000005,17670.797324121257,282,0,282,2,0.0,100.0
340,ORANGEVALE,2035.0,0.0,141.2392483292494,11,0,11,1,0.0,100.0
341,ORCUTT,37479.49135999999,-173.90567999999996,12340.81072496378,32,0,32,2,0.0,100.0
342,ORICK,15342.4656,-97.52309382,12688.24332882043,4,0,4,1,0.0,100.0
343,ORINDA,81063.05800000002,-443.8593599999999,44397.59025175038,60,39,60,1,65.0,100.0
344,ORLAND,116257.37256000002,-17.2809,51290.59580894845,7,0,7,2,0.0,100.0
345,ORLEANS,1526.247,-5.975099802000001,988.033590816736,1,0,1,1,0.0,100.0
346,OROVILLE,189231.03200000207,-442.9115300000001,270148.8946083998,378,27,378,4,7.142857142857142,100.0
347,OXNARD,157836.27417599998,-105.85915630200005,762765.7414078291,32,0,32,1,0.0,100.0
348,PACHECO,49161.732240000005,-139.90896999999998,26635.786310860207,21,0,21,1,0.0,100.0
349,PACIFIC GROVE,385017.36048000003,-3034.8031399999995,226263.20701722565,76,18,76,2,23.684210526315788,100.0
350,PACIFICA,578484.0514400001,-5144.62415,248663.88421733177,51,6,51,2,11.76470588235294,100.0
351,PAICINES,9383.427000000001,-49.86,5802.60956969216,3,0,3,1,0.0,100.0
352,PALERMO,9961.9,-3.371,10351.023847156484,7,0,7,1,0.0,100.0
353,PALO CEDRO,45701.575,-308.5310000000001,50940.91918042496,18,0,18,1,0.0,100.0
354,PALOS VERDES ESTATES,51890.49648,-14.305029983999999,82468.01489244377,6,0,6,2,0.0,100.0
