city,total_population
Caliente,1225
Ione,10220
Ridgecrest,37182
Tujunga,25105
Galt,29404
Weldon,4942
Benicia,28681
Glendora,55146
Carmichael,58219
Acampo,9814
San Dimas,35444
Citrus Heights,79441
Exeter,15992
Maricopa,1521
West Hills,30112
Wildomar,34552
Santa Paula,39386
San Martin,9665
Fortuna,9342
Discovery Bay,9370
Campo,7998
Studio City,30866
Spring Valley,65340
Farmington,5330
Oakhurst,13760
Anderson,23258
Idyllwild,1122
Loleta,4606
Walnut Grove,3571
Seaside,26914
Arbuckle,5647
Soledad,24958
Biggs,4202
San Juan Bautista,6263
Woodland Hills,54985
Newport Beach,71747
Long Barn,10174
San Luis Obispo,65313
Mentone,4182
Windsor,21434
Yorba Linda,63982
Lompoc,60288
Clearlake,11491
Sutter Creek,4675
King City,13528
Davis,71684
Cypress,43083
Eureka,49398
Livermore,99939
Gonzales,5469
Camp Pendleton,38754
Somis,8366
Nicolaus,2488
Mountain View,74507
El Cerrito,30762
Petaluma,79601
Williams,5963
Boron,2221
Wheatland,4652
Burney,4881
Lakeside,49334
Fallbrook,44391
Los Alamitos,26297
Laguna Woods,19870
La Crescenta,26640
Plymouth,5105
Menifee,55591
Simi Valley,128176
Cathedral City,49296
Millbrae,22625
Thousand Oaks,79305
Jamestown,13181
Greenfield,18424
Arcata,14499
Redondo Beach,72275
Frazier Park,7686
Mountain Center,5577
Agoura Hills,40671
Mission Viejo,100766
El Sobrante,21101
Lakeport,16029
West Hollywood,20977
Valencia,70275
Edwards,2827
Orland,17308
Landers,5539
Vista,109549
Littlerock,14024
Angelus Oaks,2125
Chualar,6527
Borrego Springs,2706
Cloverdale,10009
Twentynine Palms,28961
Fort Bragg,12078
Cotati,14516
Palm Springs,54648
Elk Creek,1956
Carmel Valley,11768
Paso Robles,42290
Yucca Valley,17367
Healdsburg,19524
Morongo Valley,10157
Jackson,3152
Bonita,27241
Menlo Park,42424
Lockeford,2902
Three Rivers,4845
Paradise,20696
Running Springs,3232
Valley Springs,17895
Beverly Hills,40656
Fort Irwin,9872
Willits,12690
Springville,5237
Linden,5944
Morro Bay,10655
Alturas,3509
Yreka,11567
Calimesa,21063
Phelan,20372
Bradley,4462
Half Moon Bay,11860
Copperopolis,4694
