,PA,PrgID,ProgramName,Grouping,County,Selected,PrimarySector,Sector,BP Sector,ProgramImplementer,ProgramCategory,StatewideProgram,ImplementationContractor,ProgramManager,StartYear,EndYear,Resource_Flag,NonResource_Flag,Deemed_Flag,Custom_Flag,Upstream_Flag,Midstream_Flag,Downstream_Flag,DirectInstall,Audit_Flag,Financing,ParentProgram,Exclude_From_Budget,Exclude_From_CE,TotalGrossMeasureCost,TotalGrossIncentive,TotalFirstYearGrosskW,cpuc_claims
242,SCR,SCR-FIN-C1,Public Agency Revolving Loan Fund,Local Gov't(),0,x,Cross-Cutting,Commercial (Com),Finance: 1.000000,REN/CCA,Financing,0,0,0,2019,0.0,False,True,False,False,False,False,False,No,False,Other Financing,SCR-FIN,False,False,0.0,0.0,0.0,0.0
302,SDGE,SDGE4022,SW CA Department of Corrections Partnership,State (Correctional Facilities) ,0,x,Public,Commercial (Com),0,State Institutional Partnership,Government Partnerships,0,0,0,2019,2019.0,True,False,True,True,True,False,True,Partial,False,None,0,False,False,0.0,0.0,0.0,0.0
228,SCG,SCG3846,PUB-SM Solicitation,0,0,x,Public,Commercial (Com),Public: 1.000000,Third/Local Party,Other,0,0,0,2020,0.0,True,False,False,False,False,False,False,No,False,None,Third Party Programs,False,False,0.0,0.0,0.0,0.0
162,SCE,SCE_SW_IP_Colleges,"Institutional Partnerships, UC/CSU/CCC",Education (Higher Education UC/CSU/CCC),0,x,Public,Commercial (Com),Public: 1.000000,State Institutional Partnership,Government Partnerships,0,0,0,2021,0.0,True,False,False,False,False,False,False,No,False,None,0,False,False,0.0,0.0,0.0,0.0
164,SCE,SCE_SW_IP_Gov,Institutional Partnerships: DGS & DoC,0,0,x,Public,Commercial (Com),Public: 1.000000,State Institutional Partnership,Government Partnerships,0,0,0,2020,0.0,True,False,False,True,False,False,True,No,False,None,Institutional Partnerships,False,False,0.0,0.0,0.0,0.0
323,SDGE,SDGE_SW_IP_Gov_DoC_PA,SW CA Department of Corrections Partnership (Utility),State (Correctional Facilities),0,x,Public,Commercial (Com),Public: 1.000000,State Institutional Partnership,Government Partnerships,0,0,0,2020,0.0,True,False,True,True,True,False,True,Partial,False,None,0,False,False,0.0,0.0,0.0,0.0
322,SDGE,SDGE_SW_IP_Gov_DoC,SW CA Department of Corrections Partnership,State (Correctional Facilities),0,x,Public,Commercial (Com),Public: 1.000000,State Institutional Partnership,Government Partnerships,0,0,0,2020,0.0,True,False,True,True,True,False,True,Partial,False,None,0,False,False,0.0,0.0,0.0,0.0
165,SCE,SCE_SW_IP_Gov_PA,Institutional Partnerships: DGS & DoC - SCE Costs,0,0,x,Public,Commercial (Com),Public: 1.000000,State Institutional Partnership,Government Partnerships,0,0,0,2020,0.0,True,False,False,True,False,False,True,No,False,None,Institutional Partnerships,False,False,0.0,0.0,0.0,0.0
163,SCE,SCE_SW_IP_Colleges_PA,"Institutional Partnerships, UC/CSU/CCC - SCE Costs",Education (Higher Education UC/CSU/CCC),0,x,Public,Commercial (Com),Public: 1.000000,State Institutional Partnership,Government Partnerships,0,0,0,2021,0.0,True,False,False,False,False,False,False,No,False,None,0,False,False,0.0,0.0,0.0,0.0
234,SCG,SCG_SW_IP_Gov,PUB-SW-Institutional Partnership: DGS & DoC,0,0,x,Public,Commercial (Com),Public: 1.000000,State Institutional Partnership,Government Partnerships,0,0,0,2020,2021.0,True,False,False,False,False,False,False,No,False,None,Statewide Programs,False,False,0.0,0.0,0.0,0.0
235,SCG,SCG_SW_IP_Gov_PA,PUB-SW-Institutional Partnerships: DGS & DoC-PA,0,0,x,Public,Commercial (Com),Commercial: 1.000000,State Institutional Partnership,Government Partnerships,0,0,0,2021,0.0,True,False,False,False,False,False,False,No,False,None,Statewide Programs,False,False,0.0,0.0,0.0,0.0
90,PGE,PGE_SW_IP_Gov,Institutional Partnerships: DGS and DoC,0,0,x,Public,Commercial (Com),Public: 1.000000,State Institutional Partnership,Government Partnerships,0,0,0,2020,0.0,True,False,False,True,False,False,True,No,False,None,Institutional Partnerships,False,False,0.0,0.0,0.0,0.0
91,PGE,PGE_SW_IP_Gov_PA,Institutional Partnerships: DGS and DoC - PGE Costs,0,0,x,Public,Commercial (Com),Public: 1.000000,State Institutional Partnership,Government Partnerships,0,0,0,2020,0.0,True,False,False,True,False,False,True,No,False,None,Institutional Partnerships,False,False,0.0,0.0,0.0,0.0
85,PGE,PGE_Pub_010,RAPIDS Wastewater Treatment Optimization Program,Local Government (Wastewater Facilities),0,x,Public,Commercial (Com),Public: 1.000000,Third/Local Party,Other,0,0,0,2020,0.0,True,False,False,True,False,False,True,No,False,None,Public Third Party Programs,False,False,0.0,0.0,0.0,0.0
84,PGE,PGE_Pub_009,Government and K-12 Comprehensive Program,Education (K-12),0,x,Public,Commercial (Com),Public: 1.000000,Third/Local Party,Other,0,0,0,2020,0.0,True,False,False,True,False,False,True,No,False,None,Public Third Party Programs,False,False,0.0,0.0,0.0,0.0
83,PGE,PGE_Pub_008,Sonoma Public Energy,Local Government (Counties),Sonoma,x,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,0,0,0,2020,0.0,False,True,False,False,False,False,False,No,False,None,Public LGP Third Party Programs,False,False,0.0,0.0,0.0,0.0
241,SCR,SCR-FIN-B5,Public Agency Revolving Loan Fund,Local Gov't(),0,x,Public,Commercial (Com),0,REN/CCA,Integrated Demand-Side Management,0,The Energy Coalition,0,2016,0.0,False,True,False,False,False,False,False,No,False,Other Financing,SCR-FIN,False,False,0.0,0.0,0.0,0.0
243,SCR,SCR-PUBL-B1,Energy Efficiency Project Delivery Program,0,0,x,Public,Commercial (Com),Public: 1.000000,REN/CCA,Integrated Demand-Side Management,0,0,0,2016,0.0,False,True,False,False,False,False,False,No,True,None,SCR-PUBL,False,False,0.0,0.0,0.0,0.0
244,SCR,SCR-PUBL-B2,DER DAC Project Delivery Program,0,0,x,Public,Commercial (Com),Public: 1.000000,REN/CCA,Integrated Demand-Side Management,0,0,0,2019,0.0,False,True,False,False,False,False,False,No,True,None,SCR-PUBL,False,False,0.0,0.0,0.0,0.0
245,SCR,SCR-PUBL-B3,Public Agency NMEC Program,0,0,x,Public,Commercial (Com),Public: 1.000000,REN/CCA,Market Transformation,0,0,0,2019,0.0,True,False,False,True,False,False,True,No,True,None,SCR-PUBL,False,False,0.0,0.0,0.0,0.0
246,SCR,SCR-REC-C1,Aggregated Regional Procurement,0,0,x,Public,Commercial (Com),0,REN/CCA,Integrated Demand-Side Management,0,The Energy Coalition,0,2016,0.0,False,True,False,False,False,False,False,No,True,None,SCR-REC,False,False,0.0,0.0,0.0,0.0
247,SCR,SCR-REC-C2,Integrated Comprehensive Whole Building Retrofits,0,0,x,Public,Commercial (Com),0,REN/CCA,Integrated Demand-Side Management,0,The Energy Coalition,0,2016,0.0,False,True,False,False,False,False,False,No,True,None,SCR-REC,False,False,0.0,0.0,0.0,0.0
248,SCR,SCR-REC-C5,Regional Energy Project Tracking and Permitting (CEEPMS),0,0,x,Public,Commercial (Com),0,REN/CCA,Market Education Outreach,0,The Energy Coalition,0,2016,0.0,False,True,False,False,False,False,False,No,False,None,SCR-REC,False,False,0.0,0.0,0.0,0.0
82,PGE,PGE_Pub_007,Sierra Nevada Energy Watch,Local Government (),0,x,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,0,0,0,2020,0.0,False,True,False,False,False,False,False,No,False,None,Public LGP Third Party Programs,False,False,0.0,0.0,0.0,0.0
81,PGE,PGE_Pub_006,Energy Access SF,Local Government (Cities),San Francisco ,x,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,0,0,0,2020,0.0,False,True,False,False,False,False,False,No,False,None,Public LGP Third Party Programs,False,False,0.0,0.0,0.0,0.0
80,PGE,PGE_Pub_005,San Mateo County Energy Watch Program,Local Government (Counties),San Mateo,x,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,0,0,0,2020,0.0,False,True,False,False,False,False,False,No,False,None,Public LGP Third Party Programs,False,False,0.0,0.0,0.0,0.0
79,PGE,PGE_Pub_004,Central California Energy Watch,Local Government (),0,x,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,0,0,0,2020,0.0,False,True,False,False,False,False,False,No,False,None,Public LGP Third Party Programs,False,False,0.0,0.0,0.0,0.0
78,PGE,PGE_Pub_003,Redwood Coast Energy Watch,Local Government (),Redwood,x,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,0,0,0,2020,0.0,False,True,False,False,False,False,False,No,False,None,Public LGP Third Party Programs,False,False,0.0,0.0,0.0,0.0
77,PGE,PGE_Pub_002,Marin Energy Watch Partnership,Local Government (),Marin,x,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,0,0,0,2020,0.0,False,True,False,False,False,False,False,No,False,None,Public LGP Third Party Programs,False,False,0.0,0.0,0.0,0.0
76,PGE,PGE_Pub_001,Central Coast Leaders in Energy Action Program,Local Government (),"San Luis Obispo, Santa Barbara",x,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,0,0,0,2020,0.0,False,True,False,False,False,False,False,No,False,None,Public LGP Third Party Programs,False,False,0.0,0.0,0.0,0.0
295,SDGE,SDGE4010,Local Government Customers Program,Local Government (),0,x,Public,Commercial (Com),Public: 1.000000,Local Government Partnership,Government Partnerships,0,0,0,2019,0.0,True,False,True,True,False,False,True,Partial,False,None,0,False,False,0.0,0.0,0.0,0.0
249,SCR,SCR-REC-C6,"Marketing, Outreach, Education, and Training",0,0,x,Public,Commercial (Com),0,REN/CCA,Market Education Outreach,0,The Energy Coalition,0,2016,0.0,False,True,False,False,False,False,False,No,False,None,SCR-REC,False,False,0.0,0.0,0.0,0.0
