County,Population,Mean Income,CES Score Median,IRR,TotalRevenue,dac_proportion,ces_score_median,ces_percentile_median,median_household_income_usd
SOLANO,441829,63635,21.7992194002231,0.377800437,2254970962,0.052083333333333336,21.7992194002231,42.64093832765795,81472
SONOMA,499772,67001,14.8102438226981,0.392294571,3532819475,0.010101010101010102,14.8102438226981,24.6563248833396,81018
STANISLAUS,543194,61405,44.0754058341112,0.393360261,3326438109,0.6489361702127661,44.075405834111145,81.64964055996975,60704
SUTTER,96109,67588,27.290012881178694,0.45473087,590171756,0.047619047619047616,27.290012881178697,54.4078698448732,59050
TEHAMA,63912,68489,26.96350593848889,0.518114144,400630004,0.0,26.963505938488897,53.827721024088795,44514
TRINITY,12700,46949,8.569741274292099,0.585870254,173811393,0.0,8.569741274292099,9.837306091562619,40846
TULARE,461898,59408,38.060988704332104,0.436561598,2747585144,0.4487179487179487,38.060988704332104,73.2122587968218,49687
TUOLUMNE,54045,59278,21.2890090508233,0.518851624,476176226,0.0,21.28900905082325,41.3671333081095,60108
VENTURA,847263,59542,17.983711152420106,0.36874757,6232135889,0.04624277456647399,17.983711152420103,33.093706646487604,88131
YOLO,217352,55398,18.637395688495,0.43782709,1146194045,0.0975609756097561,18.637395688495,34.8089292470677,70228
YUBA,76360,72547,31.5404880419739,0.46933823,596778975,0.21428571428571427,31.540488041973852,62.23357296002016,58054
