County,Population,Mean Income,CES Score Median,IRR,TotalRevenue,dac_proportion,ces_score_median,ces_percentile_median,median_household_income_usd
ALAMEDA,1656754,76626,21.5329058048428,0.270123418,9617053146,0.10555555555555557,21.5329058048428,42.09862529953335,99406
ALPINE,1039,78945,11.343356773265901,0.656044503,60490797,0.0,11.343356773265901,15.853197124479802,63750
AMADOR,38429,51453,23.25754908688529,0.502563215,243032260,0.0,23.257549086885298,45.756085256652796,62772
BUTTE,225817,62405,20.0332612273792,0.4345549070000001,1290504922,0.0392156862745098,20.0332612273792,38.3654937570942,52537
CALAVERAS,45514,70651,15.1808524828282,0.509595041,677652486,0.0,15.1808524828282,25.5517719762896,63158
COLUSA,21454,51788,27.4689006062817,0.543578676,183757138,0.0,27.4689006062817,54.748391978811995,59401
CONTRA COSTA,1142251,54605,17.213198028522,0.274897329,9994087813,0.12077294685990338,17.213198028522,30.8613948795561,99716
DEL NORTE,27495,62144,16.8448507855909,0.530593072,225894688,0.0,16.8448507855909,29.9785597174927,45283
EL DORADO,188563,58390,10.546223119934599,0.452632459,1101313736,0.0,10.546223119934599,14.390213141632,83377
FRESNO,984521,63368,44.3555789357592,0.407642153,5391143000,0.5979899497487438,44.3555789357592,82.10367007188799,53969
GLENN,27976,63764,23.671257960564102,0.534306275,251081405,0.0,23.671257960564052,46.7776516584689,49633
HUMBOLDT,135940,62536,15.2839121025598,0.5087122279999999,1063422798,0.0,15.2839121025598,25.79770462857865,48041
IMPERIAL,180701,65273,39.5838218556389,0.483676103,1305614242,0.4838709677419355,39.5838218556389,75.38781687476356,47622
INYO,17977,55353,18.7989676377549,0.614476007,240392588,0.0,18.79896763775485,35.244040862656114,57316
KERN,887641,65073,36.3577239312472,0.421116981,5607641820,0.4503311258278146,36.3577239312472,70.5385294488586,53350
KINGS,150691,67561,38.953303554797294,0.459568005,838808094,0.4074074074074074,38.953303554797294,74.3473325766175,57848
LAKE,64195,64357,17.599033098411,0.501903671,478399008,0.0,17.599033098411,31.9964686593517,47040
LASSEN,30818,46389,15.8205255951178,0.562445155,206480533,0.0,15.8205255951178,27.3552780930761,56352
LOS ANGELES,10081570,59106,36.397587770617704,0.226484593,76411682804,0.44302176696542894,36.39758777061765,70.62050699962165,68044
